McCC,CLOC,PDA,PUA,LLOC,LOC,DataClumps,MessageChains,MiddleMan,SpeculativeGenerality,SwitchStatements,MessageChains.1,blank,comment,code,codeLines,target
1,0,2,0,4,42,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,4.0,4.0,1
1,0,2,0,4,42,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,4.0,4.0,1
1,0,2,0,4,55,0.0,0.0,0.0,1.0,0.0,0.0,4.0,46.0,4.0,4.0,1
1,0,2,0,6,38,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,6.0,6.0,1
1,0,2,0,4,46,0.0,0.0,0.0,1.0,0.0,0.0,4.0,37.0,4.0,4.0,0
1,0,2,0,6,40,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,6.0,6.0,1
1,0,2,0,4,40,0.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,4.0,4.0,1
2,0,4,0,22,84,0.0,0.0,0.0,0.0,0.0,0.0,10.0,51.0,22.0,22.0,1
39,0,10,0,264,525,0.0,0.0,0.0,0.0,0.0,0.0,75.0,185.0,264.0,264.0,1
9,0,7,0,64,193,0.0,0.0,0.0,0.0,0.0,0.0,22.0,106.0,64.0,64.0,1
2,0,9,0,43,154,0.0,0.0,1.0,0.0,0.0,0.0,16.0,94.0,43.0,43.0,1
236,0,11,12,767,1104,0.0,0.0,0.0,1.0,1.0,0.0,76.0,260.0,767.0,767.0,1
98,0,8,0,279,400,0.0,0.0,0.0,0.0,2.0,0.0,25.0,95.0,279.0,279.0,1
8,0,7,0,55,184,0.0,0.0,0.0,0.0,0.0,0.0,20.0,108.0,55.0,55.0,1
18,0,9,0,85,271,0.0,0.0,0.0,0.0,0.0,0.0,21.0,165.0,85.0,85.0,1
10,0,0,0,38,123,0.0,0.0,0.0,0.0,0.0,0.0,8.0,76.0,38.0,38.0,1
12,0,9,0,83,207,0.0,2.0,0.0,0.0,0.0,0.0,14.0,110.0,83.0,83.0,0
20,0,11,0,161,309,0.0,2.0,0.0,0.0,0.0,0.0,21.0,127.0,161.0,161.0,0
24,0,14,0,153,387,0.0,2.0,0.0,0.0,0.0,0.0,21.0,213.0,153.0,153.0,1
11,0,0,0,61,162,0.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0,61.0,61.0,1
1,0,0,0,5,52,0.0,0.0,0.0,1.0,0.0,0.0,3.0,44.0,5.0,5.0,0
26,0,15,0,169,365,0.0,2.0,0.0,0.0,0.0,0.0,33.0,162.0,169.0,169.0,1
41,0,3,0,242,339,0.0,0.0,0.0,3.0,0.0,0.0,41.0,55.0,242.0,242.0,0
81,0,5,78,200,335,0.0,0.0,1.0,0.0,0.0,0.0,89.0,46.0,200.0,200.0,0
48,0,8,36,292,428,1.0,0.0,1.0,0.0,0.0,0.0,53.0,82.0,292.0,292.0,1
40,0,5,36,119,216,0.0,0.0,1.0,0.0,0.0,0.0,47.0,49.0,119.0,119.0,0
149,0,9,137,364,590,0.0,0.0,1.0,4.0,0.0,0.0,155.0,70.0,364.0,364.0,0
50,0,7,37,194,330,0.0,1.0,1.0,0.0,0.0,0.0,57.0,78.0,194.0,194.0,0
1,0,1,3,21,48,0.0,1.0,1.0,0.0,0.0,0.0,5.0,21.0,21.0,21.0,0
7,0,5,0,44,100,0.0,0.0,1.0,0.0,0.0,0.0,10.0,45.0,44.0,44.0,0
34,0,11,1,157,313,1.0,0.0,0.0,5.0,0.0,0.0,33.0,122.0,157.0,157.0,1
15,0,9,3,263,413,1.0,0.0,1.0,3.0,0.0,0.0,68.0,81.0,263.0,263.0,1
26,0,4,11,340,473,1.0,1.0,1.0,3.0,0.0,0.0,71.0,61.0,340.0,340.0,0
3,0,0,0,204,457,1.0,0.0,1.0,0.0,0.0,0.0,49.0,203.0,204.0,204.0,0
28,0,32,0,247,557,1.0,3.0,0.0,3.0,0.0,0.0,60.0,249.0,247.0,247.0,0
1,0,0,0,18,55,0.0,0.0,1.0,0.0,0.0,0.0,6.0,30.0,18.0,18.0,0
36,0,0,0,218,389,1.0,0.0,0.0,5.0,0.0,0.0,39.0,131.0,218.0,218.0,0
23,0,0,0,176,280,1.0,0.0,0.0,2.0,1.0,0.0,23.0,80.0,176.0,176.0,0
33,0,41,0,344,755,1.0,4.0,0.0,0.0,0.0,0.0,62.0,348.0,344.0,344.0,0
39,0,0,0,166,245,0.0,0.0,0.0,2.0,0.0,0.0,29.0,49.0,166.0,166.0,0
22,0,0,0,173,271,1.0,1.0,0.0,6.0,1.0,0.0,23.0,74.0,173.0,173.0,0
34,0,25,0,275,503,0.0,1.0,0.0,3.0,0.0,1.0,54.0,173.0,275.0,275.0,0
