McCC,CLOC,LLOC,Number of previous modifications,Number of committers,Number of developer commits,Number of previous fixes,target
1,0,22,2,1,1302,0,0
1,0,12,1,1,1302,0,0
2,0,21,8,2,1302,0,0
3,0,36,6,1,1302,0,0
3,0,24,2,1,1302,0,0
3,0,32,3,1,1302,0,0
1,0,22,9,1,1302,0,0
8,0,67,13,2,1302,0,0
3,0,89,3,1,1302,0,0
5,0,26,1,1,1302,0,0
2,0,57,9,1,1302,0,0
1,0,21,6,1,1302,0,0
1,0,22,6,1,1302,0,0
2,0,25,8,1,1302,0,0
1,0,25,6,2,1302,0,0
1,0,21,3,1,1302,0,0
2,0,33,3,1,1302,0,0
1,0,16,2,1,1302,0,0
3,0,46,4,1,1302,0,0
1,0,19,1,1,1302,0,0
7,0,55,5,2,1,0,0
6,0,48,7,1,1302,0,0
50,0,323,69,5,1302,3,1
36,0,272,9,1,1302,1,0
68,0,262,20,2,1302,0,0
171,0,804,24,1,1302,1,0
455,0,2160,84,4,1302,8,0
42,0,480,7,1,1302,0,0
1,0,14,23,1,1302,1,0
27,0,148,13,1,1302,2,1
5,0,117,9,1,1302,1,0
6,0,122,12,1,1302,1,0
159,0,1127,74,2,1302,2,1
53,0,493,103,2,1302,8,0
10,0,166,9,1,1302,0,0
1,0,28,29,2,1302,2,0
25,0,429,37,2,1302,3,0
162,0,743,25,1,1302,1,0
1,0,76,2,1,1302,0,0
236,0,1251,73,3,1302,2,0
102,0,517,11,2,1302,0,0
57,0,407,11,1,1302,0,1
31,0,286,14,2,1302,0,0
3,0,38,7,2,1302,0,0
58,0,313,29,1,1302,2,1
38,0,344,21,2,1302,1,0
27,0,367,35,2,1302,0,0
492,0,1744,68,1,1302,5,0
67,0,449,42,2,1302,3,0
32,0,246,32,2,1302,4,0
61,0,510,47,1,1302,6,0
135,0,795,87,3,1302,10,0
20,0,216,21,1,1302,0,0
134,0,856,72,1,1302,10,1
1,0,4,1,1,1302,0,0
61,0,524,24,1,1302,2,0
13,0,56,28,1,1302,4,0
1,0,4,2,1,1302,0,0
85,0,673,68,3,1302,11,1
8,0,98,26,1,1302,0,0
2,0,61,9,1,1302,0,0
6,0,119,8,1,1302,0,0
6,0,131,9,1,1302,0,0
12,0,157,6,1,1302,1,0
11,0,108,10,1,1302,1,0
25,0,245,10,1,1302,0,0
1,0,38,8,2,1302,1,0
811,0,6251,5,1,1302,0,0
2,0,39,21,1,1302,1,0
12,0,387,10,2,1302,0,0
1,0,15,5,2,1302,0,0
1,0,13,5,2,1302,0,0
1,0,243,6,1,1302,0,0
3,0,34,2,1,1302,0,0
47,0,585,6,1,1302,0,0
33,0,353,40,2,1302,3,0
2,0,38,21,1,1302,1,0
30,0,212,4,1,1302,0,0
122,0,1390,10,1,1302,0,0
47,0,982,6,1,1302,0,0
111,0,927,7,1,1302,0,0
98,0,685,9,1,1302,0,0
51,0,783,3,1,1302,0,0
1,0,13,13,2,1302,0,0
5,0,43,7,1,1302,0,0
3,0,13,2,1,1302,0,0
1,0,118,2,1,1302,0,0
1,0,46,21,1,1302,0,0
110,0,686,3,1,1302,0,0
1,0,25,1,1,1302,0,0
3,0,313,39,1,1302,1,0
1,0,81,16,1,1302,2,0
2,0,117,9,2,1302,1,0
13,0,188,9,1,1302,0,0
3,0,31,9,1,1302,1,0
1,0,64,10,1,1302,0,0
55,0,182,4,1,1302,0,0
47,0,468,39,1,1302,1,0
2,0,35,22,1,1302,1,0
3,0,90,26,1,1302,1,0
1,0,16,4,1,1302,1,0
1,0,10,4,1,1302,0,0
9,0,71,6,1,1302,2,0
12,0,124,7,1,1302,1,0
12,0,91,5,1,1302,0,0
1,0,55,4,1,1302,0,0
5,0,34,2,1,1302,0,0
5,0,89,5,1,1302,0,0
7,0,91,2,1,1302,0,0
2,0,17,3,1,1302,1,0
1,0,54,4,1,1302,0,0
2,0,14,4,1,1302,2,0
1,0,31,4,1,1302,1,0
1,0,44,4,1,1302,0,0
1,0,25,4,1,1302,0,0
6,0,82,4,1,1302,0,0
13,0,163,4,1,1302,0,0
5,0,29,1,1,1302,1,0
1,0,41,1,1,1302,1,0
1,0,54,2,1,1302,1,0
1,0,32,2,1,1302,1,0
2,0,26,1,1,1302,1,0
6,0,43,11,1,1302,0,0
23,0,214,10,1,1302,0,0
6,0,50,9,1,1302,0,0
4,0,52,3,1,1302,0,0
1,0,22,4,2,1302,0,0
5,0,51,3,1,1302,0,0
2,0,53,3,1,1302,1,0
2,0,20,5,1,1302,2,0
1,0,11,2,1,1302,0,0
1,0,25,1,1,1302,0,0
1,0,155,11,2,1302,1,0
6,0,134,4,1,1302,0,0
6,0,109,9,2,1302,0,0
196,0,1334,6,2,1302,0,0
16,0,44,5,1,1302,0,0
3,0,20,4,1,1302,0,0
42,0,289,17,1,1302,0,0
3,0,110,10,1,1302,0,0
32,0,88,1,1,1302,0,0
1,0,67,8,1,1302,0,0
28,0,63,1,1,1302,0,0
45,0,634,35,1,1302,6,0
21,0,267,18,2,1302,2,0
1,0,33,6,1,1302,0,0
3,0,84,10,1,1302,1,0
11,0,102,14,1,1302,2,0
27,0,356,27,1,1302,1,0
1,0,9,2,1,1302,0,0
2,0,37,2,1,1302,1,0
3,0,64,16,1,1302,1,0
4,0,18,19,2,1302,2,0
5,0,91,2,1,1302,0,0
1375,0,11297,3,1,1302,0,0
1,0,76,7,1,1302,1,0
23,0,192,13,1,1302,5,0
6,0,98,10,1,1302,1,0
