McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,target
76,0,1,108,857,1040,40,0,2,76.0,0.0,857.0,2.0,39.0,4057.0,4.0,1
12,0,1,15,107,163,41,1,2,12.0,0.0,107.0,2.0,5.0,1649.0,2.0,0
1,0,1,7,34,64,42,2,2,1.0,0.0,34.0,0.0,3.0,1649.0,2.0,0
25,0,1,18,185,244,43,3,2,25.0,0.0,185.0,1.0,6.0,1649.0,2.0,1
19,0,0,6,83,113,44,4,2,19.0,0.0,83.0,0.0,3.0,1649.0,2.0,1
19,0,1,5,86,121,56,5,2,19.0,0.0,86.0,0.0,4.0,1649.0,2.0,1
1,0,7,2,13,59,57,6,2,1.0,0.0,13.0,0.0,6.0,1649.0,2.0,0
1,0,1,0,5,32,58,7,2,1.0,0.0,5.0,0.0,1.0,4057.0,1.0,0
56,0,16,0,290,418,59,8,2,56.0,0.0,290.0,0.0,2.0,4057.0,1.0,0
1,0,141,2,166,1923,110,9,2,1.0,0.0,166.0,1.0,31.0,4057.0,4.0,1
1,0,17,0,19,112,111,10,2,1.0,0.0,19.0,2.0,6.0,1649.0,2.0,0
1,0,3,2,9,40,112,11,2,1.0,0.0,9.0,0.0,3.0,1649.0,2.0,0
5,0,2,0,68,147,113,12,2,5.0,0.0,68.0,0.0,4.0,4057.0,2.0,0
17,0,4,22,170,254,114,13,2,17.0,0.0,170.0,0.0,6.0,4057.0,3.0,0
6,0,4,14,88,147,115,14,2,6.0,0.0,88.0,0.0,4.0,4057.0,2.0,0
1,0,18,64,151,384,116,15,2,1.0,0.0,151.0,0.0,50.0,1649.0,5.0,1
5,0,1,9,51,82,117,16,2,5.0,0.0,51.0,0.0,4.0,1649.0,2.0,1
161,0,1,107,1322,1582,118,17,2,161.0,0.0,1322.0,4.0,42.0,1649.0,6.0,1
33,0,0,0,265,336,119,18,2,33.0,0.0,265.0,1.0,15.0,4057.0,3.0,0
2,0,1,35,173,236,120,19,2,2.0,0.0,173.0,1.0,23.0,4057.0,4.0,1
16,0,0,149,681,858,121,20,2,16.0,0.0,681.0,0.0,3.0,1649.0,2.0,1
7,0,0,34,173,235,122,21,2,7.0,0.0,173.0,0.0,3.0,1649.0,2.0,1
1,0,1,4,14,41,123,22,2,1.0,0.0,14.0,0.0,2.0,4057.0,1.0,0
1,0,4,2,12,62,124,23,2,1.0,0.0,12.0,0.0,9.0,4057.0,3.0,1
43,0,0,0,324,407,126,24,2,43.0,0.0,324.0,2.0,9.0,1649.0,2.0,0
29,0,0,0,262,350,127,25,2,29.0,0.0,262.0,1.0,4.0,4057.0,2.0,0
16,0,0,0,96,130,128,26,2,16.0,0.0,96.0,0.0,3.0,1649.0,2.0,0
17,0,0,0,108,156,175,27,2,17.0,0.0,108.0,0.0,1.0,4057.0,1.0,0
1,0,0,0,10,34,176,28,2,1.0,0.0,10.0,0.0,1.0,4057.0,1.0,0
16,0,0,0,151,199,129,29,2,16.0,0.0,151.0,1.0,11.0,4057.0,2.0,1
15,0,0,7,121,166,130,30,2,15.0,0.0,121.0,1.0,2.0,4057.0,1.0,1
10,0,0,0,234,286,134,31,2,10.0,0.0,234.0,0.0,3.0,4057.0,1.0,1
4,0,0,0,214,261,173,32,2,4.0,0.0,214.0,0.0,3.0,4057.0,1.0,1
21,0,0,0,252,309,174,33,2,21.0,0.0,252.0,1.0,6.0,1649.0,2.0,1
6,0,0,0,97,133,177,34,2,6.0,0.0,97.0,1.0,12.0,4057.0,2.0,0
3,0,1,37,171,233,178,35,2,3.0,0.0,171.0,1.0,22.0,4057.0,4.0,1
1,0,6,0,8,63,179,36,2,1.0,0.0,8.0,0.0,3.0,1649.0,2.0,0
7,0,1,36,221,286,180,37,2,7.0,0.0,221.0,2.0,26.0,4057.0,4.0,1
9,0,0,150,703,871,186,38,2,9.0,0.0,703.0,2.0,28.0,1649.0,4.0,1
90,0,46,4,484,854,187,39,2,90.0,0.0,484.0,1.0,21.0,4057.0,3.0,1
2,0,1,1,24,51,193,40,2,2.0,0.0,24.0,2.0,5.0,1649.0,2.0,0
44,0,0,0,409,503,194,41,2,44.0,0.0,409.0,1.0,14.0,4057.0,2.0,1
14,0,0,0,290,369,195,42,2,14.0,0.0,290.0,1.0,10.0,4057.0,1.0,1
1,0,0,0,1,131,125,43,2,1.0,0.0,1.0,0.0,9.0,4057.0,2.0,0
123,0,3,92,1380,1647,216,44,13,123.0,0.0,1380.0,0.0,3.0,4057.0,2.0,0
5,0,3,9,315,434,217,45,13,5.0,0.0,315.0,1.0,4.0,1649.0,2.0,0
1,0,1,1,6,27,218,46,13,1.0,0.0,6.0,0.0,1.0,1649.0,1.0,0
1,0,1,0,17,42,219,47,13,1.0,0.0,17.0,0.0,1.0,1649.0,1.0,0
1,0,1,2,24,51,257,48,13,1.0,0.0,24.0,0.0,1.0,1649.0,1.0,0
11,0,1,10,169,220,258,49,13,11.0,0.0,169.0,0.0,1.0,4057.0,1.0,0
1,0,1,2,40,67,259,50,13,1.0,0.0,40.0,0.0,1.0,1649.0,1.0,0
11,0,1,2,146,206,260,51,13,11.0,0.0,146.0,0.0,2.0,4057.0,2.0,0
1,0,1,2,28,58,261,52,13,1.0,0.0,28.0,0.0,1.0,71.0,1.0,0
1,0,1,1,20,46,262,53,13,1.0,0.0,20.0,0.0,1.0,1649.0,1.0,0
1,0,1,1,6,27,270,54,13,1.0,0.0,6.0,0.0,1.0,1649.0,1.0,0
1,0,1,0,17,42,271,55,13,1.0,0.0,17.0,0.0,1.0,1649.0,1.0,0
1,0,1,0,16,41,272,56,13,1.0,0.0,16.0,0.0,1.0,1649.0,1.0,0
1,0,1,18,129,178,273,57,13,1.0,0.0,129.0,0.0,1.0,1649.0,1.0,0
1,0,1,1,23,50,274,58,13,1.0,0.0,23.0,0.0,1.0,1649.0,1.0,0
