McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
1,0,3,0,5,51,25,0,3,1.0,0.0,5.0,0.0,2.0,5.0,219.0,0
18,0,2,2,137,203,26,1,3,18.0,0.0,137.0,0.0,5.0,8.0,219.0,0
6,0,1,2,66,98,655,2,144,6.0,0.0,66.0,1.0,7.0,31.0,219.0,0
6,0,1,2,52,82,662,3,144,6.0,0.0,52.0,0.0,7.0,24.0,219.0,0
4,0,1,2,49,80,663,4,144,4.0,0.0,49.0,0.0,7.0,26.0,219.0,1
4,0,1,2,39,73,670,5,144,4.0,0.0,39.0,0.0,7.0,20.0,219.0,0
14,0,1,4,101,154,671,6,144,14.0,0.0,101.0,2.0,7.0,31.0,219.0,1
48,0,7,8,401,611,674,7,144,48.0,0.0,401.0,4.0,8.0,102.0,592.0,1
17,0,1,5,145,201,675,8,144,17.0,0.0,145.0,4.0,4.0,12.0,1464.0,1
9,0,0,2,47,76,22,9,2,9.0,0.0,47.0,0.0,3.0,3.0,219.0,0
6,0,1,2,45,83,23,10,2,6.0,0.0,45.0,0.0,3.0,10.0,219.0,0
15,0,1,2,97,143,24,11,2,15.0,0.0,97.0,1.0,4.0,12.0,219.0,0
2,0,1,1,25,52,42,12,6,2.0,0.0,25.0,1.0,4.0,5.0,219.0,0
3,0,2,0,24,55,55,13,9,3.0,0.0,24.0,0.0,3.0,3.0,2597.0,1
3,0,2,0,42,80,56,14,10,3.0,0.0,42.0,0.0,4.0,8.0,219.0,0
2,0,1,1,49,86,81,15,14,2.0,0.0,49.0,1.0,4.0,7.0,1283.0,0
3,0,1,3,62,104,82,16,14,3.0,0.0,62.0,1.0,5.0,15.0,219.0,0
7,0,1,0,41,76,83,17,14,7.0,0.0,41.0,0.0,3.0,6.0,219.0,0
17,0,1,4,200,279,84,18,14,17.0,0.0,200.0,2.0,6.0,39.0,56.0,0
1,0,1,3,48,78,168,19,32,1.0,0.0,48.0,0.0,5.0,6.0,219.0,0
1,0,1,3,76,106,169,20,32,1.0,0.0,76.0,0.0,5.0,9.0,219.0,0
1,0,1,3,153,182,170,21,32,1.0,0.0,153.0,0.0,5.0,9.0,219.0,0
1,0,1,3,34,63,171,22,32,1.0,0.0,34.0,0.0,5.0,10.0,219.0,0
1,0,1,3,69,98,172,23,32,1.0,0.0,69.0,0.0,5.0,9.0,219.0,0
1,0,2,2,209,239,173,24,32,1.0,0.0,209.0,0.0,5.0,11.0,219.0,0
1,0,1,3,118,147,174,25,32,1.0,0.0,118.0,0.0,4.0,9.0,219.0,0
1,0,1,3,41,72,175,26,32,1.0,0.0,41.0,0.0,4.0,9.0,219.0,0
1,0,1,3,111,141,180,27,32,1.0,0.0,111.0,0.0,5.0,11.0,219.0,0
1,0,1,3,62,96,185,28,32,1.0,0.0,62.0,0.0,4.0,9.0,219.0,0
1,0,1,0,18,47,197,29,35,1.0,0.0,18.0,0.0,4.0,5.0,219.0,0
1,0,1,0,18,47,198,30,35,1.0,0.0,18.0,0.0,5.0,8.0,592.0,0
1,0,1,0,25,54,199,31,35,1.0,0.0,25.0,0.0,4.0,5.0,219.0,0
1,0,6,0,126,324,166,32,31,1.0,0.0,126.0,0.0,3.0,6.0,219.0,0
1,0,2,4,209,268,167,33,31,1.0,0.0,209.0,0.0,3.0,7.0,219.0,0
17,0,2,0,120,168,261,34,47,17.0,0.0,120.0,1.0,4.0,7.0,1283.0,0
17,0,1,6,138,183,262,35,47,17.0,0.0,138.0,1.0,5.0,20.0,219.0,0
23,0,1,9,196,244,263,36,47,23.0,0.0,196.0,5.0,8.0,52.0,219.0,1
18,0,1,2,108,144,264,37,47,18.0,0.0,108.0,1.0,7.0,23.0,219.0,0
1,0,1,1,16,44,265,38,47,1.0,0.0,16.0,0.0,6.0,12.0,219.0,0
22,0,1,6,168,218,266,39,47,22.0,0.0,168.0,1.0,7.0,29.0,219.0,0
17,0,1,6,138,183,267,40,47,17.0,0.0,138.0,1.0,7.0,29.0,219.0,0
23,0,3,7,194,249,268,41,47,23.0,0.0,194.0,5.0,8.0,48.0,219.0,1
2,0,1,6,56,91,269,42,47,2.0,0.0,56.0,1.0,7.0,21.0,219.0,0
5,0,1,3,90,133,474,43,104,5.0,0.0,90.0,1.0,5.0,13.0,219.0,0
6,0,1,3,101,164,475,44,104,6.0,0.0,101.0,3.0,4.0,16.0,219.0,0
3,0,1,3,82,130,476,45,104,3.0,0.0,82.0,2.0,5.0,11.0,219.0,1
3,0,1,3,80,129,477,46,104,3.0,0.0,80.0,3.0,5.0,17.0,1283.0,1
1,0,0,2,5,24,589,47,130,1.0,0.0,5.0,0.0,4.0,5.0,219.0,0
5,0,0,2,61,99,590,48,130,5.0,0.0,61.0,0.0,5.0,9.0,219.0,0
8,0,1,2,66,112,616,49,140,8.0,0.0,66.0,0.0,4.0,11.0,219.0,0
1,0,1,4,16,47,617,50,140,1.0,0.0,16.0,0.0,3.0,3.0,219.0,0
1,0,1,30,35,89,653,51,145,1.0,0.0,35.0,0.0,6.0,12.0,1283.0,0
3,0,1,30,185,255,654,52,145,3.0,0.0,185.0,0.0,6.0,18.0,1283.0,0
1,0,1,6,11,39,656,53,145,1.0,0.0,11.0,0.0,5.0,9.0,219.0,0
1,0,1,6,69,103,657,54,145,1.0,0.0,69.0,1.0,5.0,13.0,219.0,0
1,0,1,10,14,46,658,55,145,1.0,0.0,14.0,0.0,5.0,9.0,219.0,0
1,0,1,10,82,121,659,56,145,1.0,0.0,82.0,0.0,6.0,16.0,219.0,0
1,0,1,8,13,44,660,57,145,1.0,0.0,13.0,0.0,4.0,8.0,219.0,0
1,0,1,8,79,118,661,58,145,1.0,0.0,79.0,1.0,5.0,12.0,219.0,0
9,0,1,7,63,103,756,59,167,9.0,0.0,63.0,0.0,5.0,13.0,219.0,1
9,0,1,7,56,97,757,60,167,9.0,0.0,56.0,0.0,4.0,6.0,219.0,1
1,0,1,5,11,40,768,61,175,1.0,0.0,11.0,0.0,5.0,11.0,219.0,0
6,0,1,5,78,111,769,62,175,6.0,0.0,78.0,0.0,6.0,19.0,219.0,0
1,0,1,6,13,45,770,63,175,1.0,0.0,13.0,0.0,4.0,9.0,219.0,0
3,0,1,6,57,94,771,64,175,3.0,0.0,57.0,0.0,6.0,13.0,219.0,0
1,0,1,4,7,36,817,65,177,1.0,0.0,7.0,0.0,5.0,10.0,219.0,0
2,0,1,5,67,100,818,66,177,2.0,0.0,67.0,0.0,6.0,19.0,219.0,0
1,0,23,15,47,203,819,67,177,1.0,0.0,47.0,0.0,5.0,14.0,219.0,0
1,0,1,9,14,46,820,68,177,1.0,0.0,14.0,0.0,4.0,8.0,219.0,0
1,0,1,9,86,125,821,69,177,1.0,0.0,86.0,0.0,7.0,25.0,219.0,0
4,0,1,43,370,468,822,70,177,4.0,0.0,370.0,0.0,7.0,49.0,2597.0,0
1,0,1,6,10,43,823,71,177,1.0,0.0,10.0,0.0,4.0,8.0,219.0,0
1,0,1,6,61,95,824,72,177,1.0,0.0,61.0,1.0,6.0,10.0,219.0,0
1,0,1,10,36,76,887,73,193,1.0,0.0,36.0,0.0,4.0,6.0,219.0,0
1,0,12,6,28,200,888,74,193,1.0,0.0,28.0,0.0,6.0,25.0,592.0,0
78,0,2,20,436,622,889,75,193,78.0,0.0,436.0,4.0,7.0,64.0,2597.0,1
1,0,6,5,21,117,890,76,193,1.0,0.0,21.0,0.0,5.0,16.0,1464.0,0
55,0,1,10,377,487,891,77,193,55.0,0.0,377.0,2.0,6.0,39.0,1464.0,1
1,0,1,1,6,30,917,78,198,1.0,0.0,6.0,0.0,4.0,9.0,219.0,0
1,0,1,1,5,29,918,79,198,1.0,0.0,5.0,0.0,4.0,9.0,219.0,0
3,0,1,3,27,54,919,80,198,3.0,0.0,27.0,0.0,4.0,9.0,219.0,0
4,0,1,3,32,60,920,81,198,4.0,0.0,32.0,0.0,4.0,9.0,219.0,0
1,0,4,9,22,71,1121,82,233,1.0,0.0,22.0,0.0,6.0,18.0,1464.0,0
8,0,1,12,127,178,1122,83,233,8.0,0.0,127.0,0.0,6.0,24.0,1464.0,0
1,0,9,25,46,151,1123,84,234,1.0,0.0,46.0,0.0,6.0,18.0,1464.0,0
1,0,1,11,16,51,1124,85,234,1.0,0.0,16.0,0.0,4.0,13.0,219.0,0
5,0,1,11,116,158,1125,86,234,5.0,0.0,116.0,1.0,8.0,21.0,219.0,0
9,0,1,41,401,488,1126,87,234,9.0,0.0,401.0,0.0,7.0,56.0,2597.0,0
1,0,4,0,10,60,1127,88,234,1.0,0.0,10.0,0.0,5.0,15.0,219.0,0
15,0,1,11,121,166,1128,89,234,15.0,0.0,121.0,1.0,7.0,17.0,219.0,1
