Type,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,target
0,70,1,188,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,9,1,0,0,0,8,1.0,0.68595,83,76,9,0,0.68595,83,0,0,0,0,0,38,119,0,7,0,7,8,0,8,0,8,8,0,8,0,38,119,0,7,0,7,8,0,8,0,8,8,0,8,0,9.0,1.0,0.0,1.0,15.0,36.0,0.0,1.0,9.0,2.0,69.0,0.0,0.0,0.0,0.111111111,0.0,0.0,6.666666667,2.0,1.0,0
0,101,1,798,2,0.124189,2,8,4,0.0759312,0.133333,53,48,2,7,4,47,3,1,1,1,24,1.0,0.4319,241,218,22,0,0.414673,260,0,0,0,0,0,317,634,21,8,21,8,23,0,21,4,23,145,0,21,4,367,698,23,8,23,8,24,2,22,4,24,162,2,22,4,29.0,5.0,0.0,2.0,73.0,300.0,1.0,2.0,21.0,0.879251701,782.0,0.857142857,1.0,0.94214876,0.344827586,3.0,5.0,25.24137931,10.0,1.5172,0
1,67,1,121,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,6,3,15,11,0,6,1.0,0.788462,41,41,7,0,0.788462,41,0,0,1,1,0,11,55,0,4,0,4,6,0,6,0,6,0,0,6,0,11,55,0,4,0,4,6,0,6,0,6,0,0,6,0,6.0,1.0,0.0,18.0,6.0,15.0,16.0,3.0,6.0,2.0,6.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1
0,75,1,106,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,6,1,1,3,5,1.0,0.575,23,23,3,0,0.575,23,1,1,0,0,1,17,32,1,0,1,0,2,0,2,0,14,5,0,14,0,17,32,1,0,1,0,2,0,2,0,14,5,0,14,0,2.0,2.0,0.0,7.0,6.0,0.0,1.0,6.0,2.0,0.0,23.0,1.0,1.0,0.923076923,0.625,0.0,0.0,10.0,2.0,1.0,0
0,85,1,222,2,0.0,0,0,0,0.0,0.0,0,0,0,2,2,10,4,9,14,0,6,1.0,0.557252,73,72,6,0,0.557252,73,0,0,3,5,0,58,138,4,1,4,1,6,0,5,0,6,14,0,5,0,58,138,4,1,4,1,6,0,5,0,6,14,0,5,0,8.0,1.0,3.0,13.0,17.0,26.0,9.0,4.0,5.0,0.942857143,91.0,0.8,0.0,0.0,0.339285714,0.0,0.0,9.75,1.0,0.75,1
0,91,1,237,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,22,14,0,0,16,23,1.0,0.34965,50,47,7,0,0.34965,50,1,1,0,0,1,93,147,7,2,3,1,7,0,6,0,9,45,0,7,0,93,147,7,2,3,1,7,0,6,0,9,45,0,7,0,8.0,2.0,0.0,14.0,27.0,20.0,0.0,14.0,6.0,0.571428571,189.0,1.0,2.0,0.5,0.349206349,1.0,1.0,22.25,8.0,2.375,1
0,100,1,442,2,0.114047,1,6,2,0.0699708,0.102564,24,20,1,4,4,28,16,0,0,12,17,1.0,0.34106,103,85,6,0,0.34106,103,1,1,0,0,1,199,343,17,1,13,0,5,0,5,0,7,78,0,6,0,199,343,17,1,13,0,5,0,5,0,7,78,0,6,0,7.0,2.0,0.0,15.0,50.0,11.0,0.0,15.0,5.0,0.911111111,555.0,0.866666667,0.0,0.545454545,0.351851852,0.0,0.0,76.14285714,2.0,1.0,1
0,68,1,136,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,3,1,2,6,1,4,1.0,0.686567,46,44,3,0,0.686567,46,1,1,2,2,1,21,69,6,2,2,1,3,0,2,0,9,4,0,7,0,21,69,6,2,2,1,3,0,2,0,9,4,0,7,0,3.0,2.0,2.0,3.0,7.0,0.0,2.0,1.0,2.0,0.5,32.0,1.0,0.0,0.75,0.666666667,0.0,0.0,9.0,1.0,0.6667,0
0,94,1,444,2,0.245283,3,12,3,0.133903,0.205607,47,44,1,7,7,41,10,0,0,11,16,1.0,0.327327,109,98,6,0,0.327327,109,2,2,0,0,1,224,351,8,2,2,0,5,0,5,0,10,107,0,8,0,224,351,8,2,2,0,5,0,5,0,10,107,0,8,0,6.0,3.0,0.0,9.0,37.0,0.0,0.0,9.0,5.0,0.76,505.0,0.4,0.0,0.615384615,0.375,2.0,6.0,82.33333333,8.0,2.3333,1
0,104,1,479,2,0.204617,3,12,3,0.12766,0.176471,48,45,1,5,5,41,12,0,0,12,17,1.0,0.312834,117,103,6,0,0.312834,117,2,2,0,0,1,257,376,6,2,0,0,5,0,5,0,10,131,0,8,0,257,376,6,2,0,0,5,0,5,0,10,131,0,8,0,6.0,3.0,0.0,10.0,44.0,15.0,0.0,10.0,5.0,1.0,615.0,0.0,0.0,0.615384615,0.375,3.0,6.0,101.1666667,7.0,2.0,1
0,11,1,85,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,10,1,4,7,1,4,0.5,0.202532,16,10,2,2,0.202532,16,0,0,0,0,0,63,75,4,1,4,1,3,0,3,0,3,30,0,3,0,63,75,4,1,4,1,3,0,3,0,3,30,0,3,0,3.0,1.0,0.0,5.0,12.0,0.0,4.0,1.0,3.0,0.5,133.0,0.0,0.0,0.0,0.555555556,0.0,0.0,42.0,1.0,0.6667,0
0,68,1,292,2,0.0,0,0,0,0.0,0.0,0,0,1,3,2,25,3,5,7,3,12,0.888889,0.403846,84,75,8,1,0.403846,84,0,0,0,0,0,124,225,3,1,3,1,9,0,8,1,9,68,0,8,1,124,225,3,1,3,1,9,0,8,1,9,68,0,8,1,9.0,1.0,0.0,7.0,29.0,12.0,5.0,2.0,8.0,0.625,453.0,1.0,0.0,0.0,0.416666667,0.0,0.0,49.0,7.0,2.5556,0
0,88,1,247,2,0.324528,1,6,2,0.16875,0.309524,27,26,1,3,3,16,7,2,5,8,14,1.0,0.452229,71,69,7,0,0.452229,71,0,0,0,0,0,86,160,2,0,2,0,6,1,6,0,6,33,1,6,0,86,160,2,0,2,0,6,1,6,0,6,33,1,6,0,6.0,1.0,0.0,8.0,21.0,0.0,2.0,6.0,6.0,0.5,146.0,0.5,1.0,0.0,0.380952381,0.0,0.0,23.0,1.0,0.8333,1
0,85,1,1031,2,0.0363783,1,8,2,0.0359029,0.0453809,34,28,1,9,5,117,12,2,4,19,29,1.0,0.282022,251,130,6,0,0.283664,257,0,0,0,0,0,639,936,12,3,12,3,10,4,5,0,10,290,4,5,0,649,947,14,3,14,3,11,4,5,0,11,292,4,5,0,13.0,1.0,0.0,11.0,70.0,66.0,2.0,9.0,6.0,0.952898551,1997.0,0.043478261,7.0,0.0,0.266666667,0.0,0.0,150.8461538,14.0,3.2308,1
0,92,1,356,2,0.0,0,0,0,0.0,0.0,0,0,1,11,8,31,18,8,9,35,42,1.0,0.333333,80,61,8,0,0.333333,80,0,0,1,1,0,160,265,5,5,5,5,7,0,7,0,7,73,0,7,0,160,265,5,5,5,5,7,0,7,0,7,73,0,7,0,7.0,1.0,1.0,25.0,49.0,5.0,6.0,19.0,7.0,0.733333333,321.0,1.0,4.0,0.0,0.392857143,0.0,0.0,44.14285714,1.0,0.8571,0
0,105,1,170,2,0.0,0,0,0,0.0,0.0,0,0,2,5,2,7,6,0,0,2,4,1.0,0.662338,51,51,3,0,0.662338,51,0,0,0,0,0,26,66,0,0,0,0,2,0,2,0,2,13,0,2,0,26,66,0,0,0,0,2,0,2,0,2,13,0,2,0,3.0,1.0,0.0,6.0,6.0,3.0,0.0,6.0,3.0,2.0,41.0,0.0,0.0,0.0,0.444444444,0.0,0.0,12.66666667,6.0,2.3333,0
