McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
6,0,5,0,52,125,120,0,4,6,0,52,1,12,2,1300,0
40,0,2,4,277,506,121,1,4,40,0,277,2,51,2,1300,0
1,0,5,0,35,183,264,2,15,1,0,35,0,32,2,1300,1
1,0,8,0,17,147,265,3,15,1,0,17,1,39,2,1300,0
4,0,1,4,47,87,266,4,15,4,0,47,0,11,2,1300,0
16,0,7,16,144,247,267,5,15,16,0,144,0,30,2,1300,0
3,0,4,0,23,97,268,6,15,3,0,23,0,20,2,1300,0
1,0,1,4,45,88,269,7,15,1,0,45,0,21,2,1300,0
58,0,10,19,284,480,270,8,15,58,0,284,0,57,2,1843,1
1,0,2,0,7,57,271,9,15,1,0,7,0,20,2,1300,0
9,0,4,20,155,298,272,10,15,9,0,155,0,37,2,1843,0
4,0,3,2,29,112,273,11,15,4,0,29,0,11,2,1300,0
12,0,4,1,53,147,274,12,15,12,0,53,0,36,2,1300,0
1,0,2,0,14,66,275,13,15,1,0,14,0,15,2,1300,0
38,0,8,0,263,763,276,14,15,38,0,263,1,68,2,1300,0
9,0,3,3,88,181,277,15,15,9,0,88,0,25,2,1300,0
3,0,1,6,53,101,278,16,15,3,0,53,1,34,2,1843,0
1,0,1,1,8,43,279,17,15,1,0,8,0,16,2,1300,0
1,0,9,0,15,243,281,18,15,1,0,15,0,23,2,1300,0
1,0,2,1,16,73,280,19,15,1,0,16,0,5,2,1300,0
23,0,13,27,264,437,282,20,15,23,0,264,0,97,2,1843,0
3,0,0,7,53,98,283,21,15,3,0,53,0,5,1,1843,0
3,0,0,6,40,83,284,22,15,3,0,40,1,27,2,1300,0
24,0,10,0,121,232,285,23,15,24,0,121,0,6,2,1300,0
1,0,1,4,38,87,286,24,15,1,0,38,0,45,2,1843,0
67,0,30,33,484,899,287,25,15,67,0,484,0,142,2,1300,0
28,0,2,6,189,273,288,26,15,28,0,189,0,10,2,1843,0
34,0,7,16,159,294,289,27,15,34,0,159,0,92,2,1843,0
6,0,1,5,65,111,290,28,15,6,0,65,0,21,2,1300,0
4,0,6,3,66,170,291,29,15,4,0,66,0,45,2,1300,0
10,0,13,14,138,270,292,30,15,10,0,138,0,72,2,1300,1
18,0,12,16,149,267,293,31,15,18,0,149,0,81,2,1843,0
1,0,11,0,19,112,294,32,15,1,0,19,0,22,2,1843,0
1,0,3,0,11,54,295,33,15,1,0,11,0,5,2,1300,0
1,0,8,0,15,113,296,34,15,1,0,15,0,14,2,1300,0
1,0,8,0,19,173,297,35,15,1,0,19,0,25,2,1300,0
58,0,7,27,325,602,298,36,15,58,0,325,0,20,2,1300,0
30,0,6,10,179,329,299,37,15,30,0,179,0,36,2,1300,0
28,0,1,17,198,337,300,38,15,28,0,198,0,24,2,1300,0
