McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
6,0,52,1,19,3,1843,0
40,0,276,2,58,3,1843,0
115,0,663,6,195,2,1843,0
12,0,73,0,50,2,1300,0
14,0,82,0,22,2,1843,0
1,0,28,0,11,2,1843,0
56,0,318,0,43,2,1843,1
17,0,167,2,47,2,1843,1
1,0,50,0,25,2,1843,0
22,0,110,0,14,2,1843,0
24,0,98,0,24,2,1843,0
3,0,22,0,10,2,1843,0
59,0,374,2,53,2,1843,0
67,0,532,0,97,2,1843,0
11,0,39,0,13,2,1843,0
30,0,266,0,58,3,1843,0
1,0,67,0,22,2,1843,0
16,0,198,0,94,2,1843,0
1,0,37,0,23,1,1843,0
18,0,84,0,51,3,1843,0
4,0,63,0,34,2,1843,0
4,0,68,1,18,2,1843,0
1,0,4,0,19,1,1843,0
44,0,372,1,75,2,1843,0
1,0,58,0,47,2,1843,0
18,0,97,0,28,2,1843,0
40,0,290,0,79,2,1843,0
54,0,318,1,96,3,1843,0
1,0,8,0,4,1,1843,0
23,0,90,0,10,1,1843,0
3,0,19,0,9,2,1843,0
11,0,58,0,14,2,1843,0
2,0,20,0,14,2,1300,0
2,0,31,0,8,2,1300,0
18,0,94,0,40,2,1843,0
1,0,10,0,16,2,1300,0
4,0,43,0,22,2,1843,0
6,0,56,0,2,2,1300,0
1,0,3,0,5,1,1843,0
59,0,205,0,25,2,1843,0
12,0,122,1,28,2,1843,0
1,0,22,0,4,2,1300,0
4,0,43,0,16,2,1300,0
1,0,9,0,3,1,1843,0
1,0,11,0,10,2,1843,0
3,0,65,0,15,2,1300,0
35,0,195,0,51,2,1300,0
84,0,466,4,108,3,1843,0
1,0,33,0,14,2,1300,0
8,0,91,1,20,2,1843,0
40,0,165,0,75,2,1843,1
45,0,219,3,58,2,1843,0
5,0,142,1,31,2,1843,0
7,0,75,0,22,2,1300,0
22,0,87,1,35,2,1843,0
6,0,74,0,13,2,1843,0
1,0,6,0,5,1,1843,0
2,0,23,0,15,2,1300,0
4,0,50,0,24,2,1843,0
1,0,10,0,15,1,1843,0
21,0,143,1,15,3,1843,0
4,0,32,0,9,2,1300,0
65,0,284,0,59,2,1843,0
26,0,224,0,65,2,1843,0
1,0,13,0,9,1,1843,0
1,0,126,9,153,2,1843,1
136,0,812,4,197,2,1843,0
2,0,16,0,9,1,1843,0
2,0,24,0,8,2,1843,0
50,0,307,2,74,2,1843,0
8,0,36,0,12,2,1843,0
1,0,13,0,6,1,1843,0
6,0,25,0,11,2,1843,0
20,0,84,0,22,2,1300,0
4,0,40,0,18,2,1300,0
47,0,249,1,92,3,1843,0
1,0,13,0,7,1,1843,0
3,0,44,0,21,2,1300,0
1,0,12,0,7,1,1843,0
1,0,14,0,9,1,1843,0
1,0,10,0,6,2,1843,0
1,0,7,0,8,2,1843,0
1,0,7,0,8,2,1843,0
1,0,9,0,4,1,1843,0
1,0,9,0,4,1,1843,0
3,0,48,0,25,2,1300,0
1,0,8,0,7,2,1843,0
2,0,12,0,10,2,1300,0
1,0,3,0,3,1,1843,0
1,0,7,0,8,2,1843,0
14,0,107,1,2,1,1843,0
1,0,15,0,4,2,1843,0
6,0,61,0,35,3,68,0
1,0,6,0,7,2,1843,0
6,0,40,0,18,2,1843,0
1,0,22,0,35,3,1843,0
2,0,21,0,16,3,68,0
1,0,9,0,9,2,1843,0
5,0,41,1,32,2,1843,0
1,0,16,0,12,1,1843,0
1,0,13,0,8,1,1843,0
3,0,30,0,14,2,1843,0
1,0,9,0,7,1,1843,0
1,0,25,0,14,2,1300,0
1,0,22,0,18,2,1843,0
1,0,19,0,18,3,68,0
4,0,24,0,13,2,1843,0
1,0,9,0,6,2,1843,0
1,0,19,0,6,1,1843,0
1,0,26,0,20,2,1300,0
1,0,6,0,3,1,1843,0
1,0,12,0,7,1,1843,0
1,0,20,0,6,2,1300,0
1,0,13,0,11,2,1843,0
1,0,12,0,50,3,1843,0
2,0,27,0,18,3,1843,0
1,0,24,0,18,2,1843,0
10,0,84,0,6,2,1843,0
1,0,17,0,3,1,1843,0
3,0,10,0,8,2,1843,0
36,0,222,1,72,3,1843,0
1,0,8,0,2,1,1843,0
7,0,41,0,29,2,1843,0
4,0,28,1,23,2,1843,0
7,0,34,0,12,2,1843,0
1,0,18,0,19,2,1300,0
1,0,16,0,8,1,1843,0
9,0,44,0,15,2,1843,0
1,0,9,0,7,1,1843,0
1,0,11,0,7,1,1843,0
1,0,16,0,8,1,1843,0
1,0,7,0,12,2,1843,0
5,0,41,1,18,2,1843,0
1,0,20,0,5,2,1300,0
1,0,23,0,19,2,1300,0
1,0,21,0,9,2,1300,0
35,0,182,1,29,2,1843,0
1,0,20,0,3,2,1843,0
1,0,17,0,11,2,1300,0
9,0,51,0,15,2,1843,0
8,0,65,0,19,2,1843,0
1,0,14,0,7,2,1300,0
1,0,21,0,9,2,1300,0
1,0,21,0,9,2,1300,0
1,0,14,0,6,2,1300,0
1,0,4,0,3,1,1300,0
1,0,14,0,7,2,1300,0
5,0,36,0,12,2,1300,0
1,0,3,0,5,2,1300,0
1,0,20,0,8,2,1300,0
1,0,14,0,7,2,1300,0
1,0,21,0,9,2,1300,0
1,0,14,0,5,2,1300,0
1,0,9,0,5,2,1843,0
1,0,10,0,8,2,1843,0
1,0,9,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,5,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,13,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,2,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,13,0,5,2,1843,0
1,0,15,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,2,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,9,0,5,2,1843,0
5,0,40,0,27,2,1300,0
1,0,12,0,10,2,1843,0
6,0,43,0,5,1,1843,0
4,0,25,0,13,2,1300,0
1,0,9,0,9,2,1843,0
1,0,9,0,9,2,1843,0
1,0,11,0,8,2,1843,0
1,0,7,0,9,2,1843,0
1,0,7,0,9,2,1843,0
1,0,11,0,8,2,1843,0
4,0,28,0,14,2,1843,0
1,0,7,0,4,1,1843,0
1,0,10,0,6,1,1843,0
1,0,8,0,6,1,1843,0
8,0,65,0,41,2,1300,0
1,0,8,0,7,1,1843,0
1,0,7,0,6,1,1843,0
1,0,7,0,5,1,1843,0
98,0,1064,1,6,2,1843,0
4,0,62,1,3,2,1843,0
44,0,190,1,6,2,1843,0
5,0,86,1,6,2,1843,0
3,0,46,1,6,2,1843,0
1,0,335,1,4,2,1843,0
2,0,284,1,3,2,1843,0
6,0,479,1,7,2,1843,0
1,0,136,1,6,2,1843,0
7,0,333,1,3,2,1843,0
1,0,243,1,6,2,1843,0
8,0,422,1,3,2,1843,0
1,0,681,1,6,2,1843,0
2,0,214,1,3,2,1843,0
1,0,73,1,3,2,1843,0
3,0,122,1,3,2,1843,0
12,0,111,1,4,2,1843,0
1,0,234,1,7,2,1843,0
1,0,344,2,7,2,1843,0
