McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
49,0,0,2,280,304,20,0,1,49,0,280,4,0,2,4843,0
1,0,0,7,32,44,21,1,1,1,0,32,1,0,1,1328,0
41,0,13,10,347,612,589,2,39,41,0,347,8,0,1,4843,0
2,0,7,0,22,75,590,3,39,2,0,22,3,0,1,4843,0
2,0,0,0,43,56,617,4,46,2,0,43,16,0,1,4843,0
370,0,0,12,1206,1344,618,5,46,370,0,1206,49,0,2,4843,0
227,0,0,19,1077,1193,619,6,46,227,0,1077,41,0,1,4843,1
11,0,0,17,147,178,620,7,46,11,0,147,14,0,1,4843,0
73,0,0,10,273,307,621,8,46,73,0,273,21,0,1,4843,0
28,0,0,0,151,166,622,9,46,28,0,151,2,0,1,4843,0
1,0,0,1,3,8,623,10,46,1,0,3,3,0,1,4843,0
53,0,0,0,291,330,624,11,46,53,0,291,8,0,1,4843,0
6,0,0,0,94,107,625,12,46,6,0,94,4,0,1,4843,0
7,0,0,0,83,96,626,13,46,7,0,83,3,0,1,4843,0
219,0,0,0,1016,1172,627,14,46,219,0,1016,53,0,1,4843,0
23,0,0,5,104,125,628,15,46,23,0,104,12,0,1,4843,0
28,0,0,15,264,301,629,16,46,28,0,264,17,0,1,4843,0
35,0,0,1,147,185,630,17,46,35,0,147,7,0,1,4843,0
28,0,0,1,278,321,631,18,46,28,0,278,16,0,3,4843,0
1,0,0,1,33,34,632,19,46,1,0,33,4,0,1,4843,0
24,0,0,1,200,239,633,20,46,24,0,200,8,0,2,4843,0
151,0,0,0,504,599,634,21,46,151,0,504,12,0,1,4843,0
40,0,0,0,97,104,635,22,46,40,0,97,4,0,1,4843,0
61,0,0,10,452,502,636,23,46,61,0,452,24,0,1,4843,0
15,0,0,2,77,85,637,24,46,15,0,77,4,0,1,4843,0
117,0,0,6,609,654,348,25,21,117,0,609,21,0,2,4843,0
8,0,0,0,63,73,349,26,21,8,0,63,3,0,1,4843,0
7,0,0,0,107,125,350,27,21,7,0,107,12,0,3,75,0
23,0,0,0,167,177,351,28,21,23,0,167,20,0,1,4843,0
7,0,0,0,48,55,352,29,21,7,0,48,8,0,1,4843,0
79,0,1,3,440,517,353,30,21,79,0,440,9,0,1,4843,0
8,0,0,4,64,78,354,31,21,8,0,64,7,0,1,4843,0
24,0,0,2,104,122,355,32,21,24,0,104,8,0,1,4843,0
16,0,0,0,88,100,356,33,21,16,0,88,3,0,1,4843,0
4,0,0,0,69,90,357,34,21,4,0,69,3,0,1,4843,0
4,0,0,0,68,89,358,35,21,4,0,68,3,0,1,4843,0
3,0,0,0,72,89,359,36,21,3,0,72,3,0,2,4843,0
4,0,0,0,68,89,360,37,21,4,0,68,2,0,1,4843,0
3,0,0,0,62,76,361,38,21,3,0,62,29,0,1,4843,0
4,0,0,0,68,89,362,39,21,4,0,68,2,0,1,4843,0
163,0,0,9,810,905,363,40,21,163,0,810,65,0,2,4843,0
7,0,0,8,57,82,364,41,21,7,0,57,2,0,1,4843,0
4,0,0,0,38,44,365,42,21,4,0,38,7,0,1,4843,0
13,0,0,3,64,77,366,43,21,13,0,64,4,0,1,4843,0
15,0,0,0,88,101,367,44,21,15,0,88,6,0,1,4843,0
2,0,0,0,60,76,368,45,21,2,0,60,6,0,1,4843,0
12,0,0,0,117,134,369,46,21,12,0,117,20,0,1,4843,0
18,0,0,1,146,156,370,47,21,18,0,146,15,0,1,4843,0
41,0,0,0,207,227,371,48,21,41,0,207,22,0,1,4843,0
2,0,0,0,56,72,372,49,21,2,0,56,4,0,1,4843,0
14,0,0,2,78,94,373,50,21,14,0,78,4,0,1,4843,0
38,0,0,0,227,248,374,51,21,38,0,227,13,0,1,4843,0
22,0,0,2,103,121,375,52,21,22,0,103,4,0,1,4843,0
10,0,0,0,75,85,378,53,21,10,0,75,5,0,1,4843,0
25,0,0,0,163,183,385,54,21,25,0,163,14,0,1,4843,0
20,0,0,0,105,112,386,55,21,20,0,105,12,0,1,4843,0
5,0,0,0,99,117,387,56,21,5,0,99,4,0,1,4843,0
11,0,0,0,62,71,388,57,21,11,0,62,1,0,1,4843,0
7,0,0,0,48,57,389,58,21,7,0,48,9,0,1,4843,0
22,0,0,0,103,111,390,59,21,22,0,103,1,0,1,4843,0
26,0,0,0,177,202,391,60,21,26,0,177,20,0,1,4843,0
23,0,0,0,138,151,392,61,21,23,0,138,11,0,1,4843,0
9,0,0,0,65,72,393,62,21,9,0,65,10,0,1,4843,0
19,0,0,0,161,246,394,63,21,19,0,161,12,0,1,4843,0
43,0,0,0,177,206,395,64,21,43,0,177,25,0,2,4843,0
32,0,0,0,186,213,396,65,21,32,0,186,11,0,1,4843,0
16,0,0,0,136,154,397,66,21,16,0,136,13,0,1,4843,1
39,0,0,0,244,260,398,67,21,39,0,244,21,0,1,4843,0
50,0,0,0,305,330,399,68,21,50,0,305,25,0,1,4843,1
36,0,0,0,215,235,400,69,21,36,0,215,18,0,1,4843,0
9,0,0,0,81,91,401,70,21,9,0,81,3,0,1,4843,0
42,0,0,1,214,233,402,71,21,42,0,214,16,0,1,4843,1
9,0,0,3,70,81,403,72,21,9,0,70,4,0,1,4843,0
15,0,0,8,131,151,404,73,21,15,0,131,8,0,1,4843,0
6,0,0,9,64,79,405,74,21,6,0,64,7,0,1,4843,0
6,0,0,9,64,79,406,75,21,6,0,64,4,0,1,4843,0
