McCC,CLOC,LLOC,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
13,0,65,0,4735,1,3,0
1,0,9,0,4735,1,1,0
1,0,12,0,4735,1,1,0
1,0,12,0,4735,1,1,0
1,0,9,0,4735,1,2,0
1,0,12,0,4735,1,1,0
1,0,9,0,4735,1,1,0
1,0,9,0,4735,1,1,0
1,0,4,0,4735,1,1,0
13,0,61,0,4735,1,9,0
2,0,46,0,4735,1,5,0
1,0,7,0,4735,1,1,0
1,0,6,0,4735,1,2,0
1,0,12,0,4735,1,5,0
1,0,5,0,4735,1,2,0
1,0,7,0,4735,1,4,0
2,0,25,0,4735,1,1,0
1,0,4,0,4735,1,4,0
10,0,37,0,4735,1,4,0
1,0,12,0,4735,1,1,0
1,0,5,0,4735,1,1,0
1,0,11,0,4735,1,2,0
1,0,6,0,4735,1,1,0
1,0,7,0,4735,1,1,0
2,0,14,0,4735,1,3,0
1,0,8,0,4735,1,5,0
15,0,70,0,4735,1,1,0
1,0,78,0,4735,1,21,0
1,0,48,0,4735,1,12,0
23,0,179,0,4735,1,17,0
1,0,18,0,4735,1,3,1
1,0,9,0,4735,1,3,0
1,0,5,0,4735,1,2,0
1,0,56,0,4735,1,10,0
1,0,60,0,4735,1,9,0
1,0,71,0,4735,1,10,0
1,0,1,0,4735,1,1,0
1,0,129,0,4735,1,21,0
2,0,44,0,4735,1,3,0
1,0,39,0,4735,1,15,0
7,0,46,0,4735,1,4,0
1,0,12,0,4735,1,4,0
1,0,10,0,4735,1,5,0
2,0,148,0,4735,1,12,0
1,0,4,0,4735,1,1,0
1,0,4,0,4735,1,1,0
1,0,4,0,4735,1,1,0
1,0,7,0,4735,1,3,0
127,0,957,0,4735,1,1,0
18,0,30,0,4735,1,1,0
37,0,215,0,4735,1,1,0
9,0,39,0,4735,1,1,0
3,0,156,0,4735,1,2,0
6,0,49,0,4735,1,1,0
10,0,59,0,4735,1,1,0
1,0,54,0,4735,1,1,0
27,0,167,0,4735,1,1,0
1,0,7,0,4735,1,1,0
11,0,134,0,4735,1,1,0
139,0,622,0,4735,1,1,0
14,0,129,0,4735,1,1,0
13,0,104,0,4735,1,1,0
1,0,9,0,4735,1,4,0
2,0,27,0,4735,1,9,0
4,0,63,0,4735,1,10,0
1,0,7,0,4735,1,1,0
14,0,104,0,4735,1,7,0
1,0,11,0,4735,1,3,0
14,0,70,0,4735,1,2,1
1,0,9,0,4735,1,1,0
1,0,11,0,4735,1,5,0
1,0,20,0,4735,1,3,0
26,0,219,0,4735,1,31,0
1,0,4,0,4735,1,1,0
1,0,4,0,4735,1,3,0
1,0,4,0,4735,1,2,0
22,0,129,0,4735,1,12,1
1,0,20,0,4735,1,5,0
1,0,35,0,4735,1,3,0
7,0,46,0,4735,1,5,0
1,0,4,0,4735,1,1,0
2,0,18,0,4735,1,1,0
1,0,10,0,4735,1,4,0
1,0,11,0,4735,1,2,0
1,0,29,0,4735,1,5,0
1,0,13,0,4735,1,2,0
1,0,11,0,4735,1,2,0
1,0,28,0,4735,1,2,0
1,0,27,0,4735,1,9,0
1,0,22,0,4735,1,4,0
9,0,62,0,4735,1,4,0
15,0,223,0,4735,1,22,0
1,0,8,0,4735,1,1,0
7,0,68,0,4735,1,3,0
2,0,43,0,4735,1,3,0
25,0,174,0,4735,1,7,0
91,0,454,0,4735,1,4,0
10,0,91,0,4735,1,6,0
1,0,47,0,4735,1,5,0
1,0,10,0,4735,1,1,0
1,0,50,0,4735,1,4,0
1,0,13,0,4735,1,1,0
1,0,1,0,4735,1,2,0
1,0,28,0,4735,1,8,0
2,0,27,0,4735,1,4,0
1,0,16,0,4735,1,8,0
14,0,77,0,4735,1,3,0
3,0,34,0,4735,1,4,0
41,0,231,0,4735,1,10,0
2,0,27,0,4735,1,4,0
1,0,15,0,4735,1,1,0
1,0,11,0,4735,1,1,0
1,0,4,0,4735,1,1,0
16,0,87,0,4735,1,11,1
1,0,4,0,4735,1,1,0
1,0,14,0,4735,1,4,0
1,0,35,1,4735,1,14,1
1,0,67,0,4735,1,2,0
1,0,21,0,4735,1,4,0
5,0,55,0,4735,1,2,0
6,0,82,0,4735,1,2,0
9,0,50,0,4735,1,1,0
1,0,7,0,4735,1,1,0
5,0,50,0,4735,1,1,0
3,0,36,0,4735,1,4,0
2,0,19,0,4735,1,2,0
1,0,12,0,4735,1,1,0
1,0,16,0,4735,1,1,0
1,0,33,0,4735,1,12,0
1,0,11,0,4735,1,4,0
1,0,12,0,4735,1,6,0
1,0,21,0,4735,1,2,0
1,0,6,0,4735,1,3,0
1,0,10,0,4735,1,2,0
1,0,9,1,4735,1,1,0
1,0,6,0,4735,1,1,0
42,0,346,1,4735,1,28,0
11,0,69,0,4735,1,4,0
1,0,29,0,4735,1,8,0
1,0,71,0,4735,1,1,0
1,0,19,0,4735,1,4,0
1,0,71,0,4735,1,1,0
1,0,7,0,4735,1,1,0
3,0,83,0,4735,1,8,0
1,0,11,0,4735,1,1,0
1,0,5,0,4735,1,1,0
1,0,7,0,4735,1,1,0
1,0,7,0,4735,1,1,0
1,0,21,0,4735,1,3,0
1,0,8,0,4735,1,1,0
1,0,7,0,4735,1,1,0
1,0,10,0,4735,1,1,0
8,0,57,0,4735,1,3,0
1,0,7,0,4735,1,1,0
4,0,40,0,4735,1,2,0
1,0,6,0,4735,1,1,0
3,0,10,0,4735,1,6,0
1,0,17,0,4735,1,10,0
1,0,9,0,4735,1,2,0
1,0,6,0,4735,1,1,0
1,0,10,0,4735,1,1,0
1,0,8,0,4735,1,1,0
1,0,40,0,4735,1,1,0
2,0,28,0,4735,1,3,0
1,0,7,0,4735,1,1,0
1,0,27,0,4735,1,4,0
1,0,8,0,4735,1,2,0
1,0,15,0,4735,1,2,0
19,0,268,0,4735,1,26,0
1,0,10,0,4735,1,2,0
1,0,74,0,4735,1,3,0
1,0,23,0,4735,1,1,0
1,0,1,0,4735,1,1,0
12,0,197,0,4735,1,16,0
1,0,30,0,4735,1,7,0
1,0,1,0,4735,1,1,0
6,0,76,0,4735,1,9,0
1,0,25,0,4735,1,4,0
6,0,80,0,4735,1,16,0
3,0,81,0,4735,1,9,0
1,0,46,0,4735,1,5,0
1,0,1,0,4735,1,1,0
4,0,73,0,4735,1,10,0
8,0,161,0,4735,1,18,1
3,0,40,0,4735,1,8,0
7,0,87,0,4735,1,8,0
1,0,52,0,4735,1,5,0
1,0,1,0,4735,1,1,0
8,0,90,0,4735,1,10,0
1,0,12,0,4735,1,4,0
4,0,44,0,4735,1,6,0
3,0,50,0,4735,1,6,0
3,0,51,0,4735,1,8,0
17,0,99,0,4735,1,4,0
5,0,68,0,4735,1,9,0
27,0,211,0,4735,1,21,0
1,0,1,0,4735,1,1,0
17,0,128,0,4735,1,12,0
15,0,222,0,4735,1,25,0
1,0,46,0,4735,1,5,0
1,0,1,0,4735,1,1,0
11,0,120,0,4735,1,15,0
31,0,401,0,4735,1,16,0
1,0,1,0,4735,1,1,0
23,0,206,0,4735,1,20,0
1,0,1,0,4735,1,1,0
1,0,9,0,4735,1,3,0
11,0,39,0,4735,1,3,0
4,0,33,0,4735,1,2,0
26,0,338,1,4735,1,22,0
10,0,131,0,4735,1,11,0
4,0,75,0,4735,1,6,0
10,0,45,0,4735,1,4,0
8,0,69,0,4735,1,8,0
8,0,73,0,4735,1,5,0
6,0,64,0,4735,1,6,0
13,0,99,0,4735,1,7,0
8,0,58,0,4735,1,3,0
3,0,30,0,4735,1,4,0
3,0,55,0,4735,1,3,0
1,0,9,0,4735,1,6,0
1,0,10,0,4735,1,1,0
16,0,128,0,4735,1,2,1
1,0,9,0,4735,1,1,0
1,0,6,0,4735,1,1,0
1,0,6,0,4735,1,1,0
1,0,6,0,4735,1,1,0
1,0,22,0,4735,1,5,0
1,0,111,0,4735,1,8,0
1,0,14,0,4735,1,5,0
1,0,119,0,4735,1,9,0
1,0,143,0,4735,1,7,0
1,0,45,0,4735,1,2,0
1,0,43,0,4735,1,1,0
1,0,48,0,4735,1,3,0
1,0,15,0,4735,1,5,0
1,0,7,0,4735,1,2,0
8,0,179,0,4735,1,24,0
3,0,24,0,4735,1,6,0
1,0,29,0,4735,1,5,0
21,0,185,0,4735,1,14,1
10,0,78,0,4735,1,2,0
2,0,20,0,4735,1,1,0
4,0,25,0,4735,1,2,0
22,0,187,0,4735,1,5,0
3,0,62,0,4735,1,2,0
14,0,211,0,4735,1,18,0
34,0,251,0,4735,1,18,1
36,0,281,0,4735,1,7,0
11,0,137,0,4735,1,3,0
7,0,67,0,4735,1,1,0
37,0,254,0,4735,1,5,0
4,0,49,0,4735,1,1,0
16,0,145,0,4735,1,10,1
44,0,309,0,4735,1,9,0
4,0,44,0,4735,1,3,0
1,0,14,0,4735,1,1,0
26,0,179,0,4735,1,11,0
28,0,196,0,4735,1,15,0
31,0,269,0,4735,1,17,0
7,0,63,0,4735,1,3,0
16,0,107,0,4735,1,3,0
1,0,11,0,4735,1,1,0
1,0,10,0,4735,1,1,0
14,0,85,0,4735,1,7,0
25,0,156,0,4735,1,11,0
13,0,88,0,4735,1,11,0
43,0,221,0,4735,1,15,0
22,0,129,0,4735,1,6,0
1,0,11,0,4735,1,1,0
1,0,28,0,4735,1,6,0
5,0,29,0,4735,1,1,0
1,0,17,0,4735,1,2,0
26,0,190,0,4735,1,24,0
1,0,22,0,4735,1,2,0
1,0,5,0,4735,1,3,0
4,0,42,0,4735,1,2,0
1,0,6,0,4735,1,2,0
1,0,10,0,4735,1,1,0
1,0,11,0,4735,1,1,0
2,0,29,0,4735,1,2,0
4,0,66,0,4735,1,1,0
1,0,36,0,4735,1,1,0
1,0,39,0,4735,1,1,0
1,0,5,0,4735,1,1,0
1,0,12,0,4735,1,1,0
1,0,18,0,4735,1,1,0
1,0,42,0,4735,1,1,0
11,0,83,0,4735,1,1,0
1,0,5,0,4735,1,1,0
1,0,5,0,4735,1,1,0
22,0,110,0,4735,1,3,0
1,0,9,0,4735,1,1,0
1,0,9,0,4735,1,1,0
6,0,51,0,4735,1,2,0
21,0,120,0,4735,1,1,0
8,0,41,0,4735,1,1,0
4,0,30,0,4735,1,1,0
1,0,4,0,4735,1,1,0
1,0,4,0,4735,1,1,0
1,0,25,0,4735,1,1,0
1,0,4,0,4735,1,1,0
8,0,60,0,4735,1,2,0
3,0,25,0,4735,1,1,0
11,0,69,0,4735,1,1,0
5,0,75,0,4735,1,2,0
18,0,85,0,4735,1,1,0
17,0,112,0,4735,1,2,0
12,0,82,0,4735,1,1,0
8,0,49,0,4735,1,1,0
17,0,81,0,4735,1,1,0
1,0,47,0,4735,1,1,0
12,0,138,0,4735,1,4,0
4,0,61,0,4735,1,2,0
10,0,65,0,4735,1,1,0
5,0,35,0,4735,1,1,0
16,0,235,0,4735,1,1,0
1,0,26,0,4735,1,2,0
79,0,106,0,4735,1,2,0
1,0,5,0,4735,1,1,0
1,0,20,0,4735,1,1,0
2,0,35,0,4735,1,1,0
16,0,101,0,4735,1,3,0
32,0,163,0,4735,1,6,0
1,0,43,0,4735,1,1,0
1,0,32,0,4735,1,1,0
1,0,48,0,4735,1,1,0
