McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
1,0,1,0,3,24,23,0,4,1,0,3,2053,7,0,6,0
1,0,0,5,24,49,61,1,15,1,0,24,8,7,0,6,0
9,0,1,4,51,81,64,2,15,9,0,51,15,10,0,7,0
13,0,1,47,382,465,69,3,15,13,0,382,15,385,12,17,1
3,0,0,0,24,47,70,4,15,3,0,24,15,14,0,9,0
4,0,0,38,199,259,72,5,15,4,0,199,15,57,0,11,0
7,0,0,8,75,107,73,6,15,7,0,75,15,57,1,11,0
1,0,3,0,8,48,76,7,15,1,0,8,8,16,0,7,0
8,0,18,33,255,432,617,8,95,8,0,255,15,122,1,16,0
2,0,3,17,88,196,618,9,95,2,0,88,15,15,0,9,1
5,0,1,10,71,114,628,10,95,5,0,71,15,11,0,8,1
1,0,0,5,18,43,629,11,95,1,0,18,8,9,0,7,1
1,0,0,7,23,49,674,12,95,1,0,23,8,20,1,8,1
1,0,1,10,43,80,675,13,95,1,0,43,15,36,1,11,0
73,0,0,8,328,378,676,14,95,73,0,328,15,71,1,15,1
1,0,0,0,1,20,636,15,95,1,0,1,15,6,0,4,0
1,0,0,2,7,28,24,16,8,1,0,7,8,14,0,6,0
1,0,0,6,10,34,25,17,8,1,0,10,15,45,2,11,1
2,0,1,2,18,44,27,18,8,2,0,18,15,23,0,9,0
17,0,0,7,121,159,42,19,11,17,0,121,15,12,0,9,1
7,0,0,3,60,92,46,20,11,7,0,60,15,18,0,10,0
37,0,0,33,370,447,47,21,11,37,0,370,1733,71,2,12,1
71,0,0,20,580,677,48,22,11,71,0,580,15,79,3,13,1
3,0,0,2,14,36,49,23,11,3,0,14,8,6,0,6,1
3,0,0,2,16,38,50,24,11,3,0,16,8,6,0,6,0
11,0,0,4,70,102,51,25,11,11,0,70,15,22,0,10,1
15,0,1,5,94,141,52,26,11,15,0,94,15,22,0,10,0
1,0,0,0,1,20,53,27,11,1,0,1,15,6,0,4,0
1,0,0,0,1,20,26,28,8,1,0,1,15,6,0,4,0
243,0,2,26,1378,1637,367,29,71,243,0,1378,51,7,0,7,0
1,0,0,0,1,20,368,30,71,1,0,1,15,6,0,4,0
35,0,1,6,259,313,914,31,112,35,0,259,15,85,4,12,1
1,0,1,0,5,33,915,32,112,1,0,5,15,15,0,9,0
1,0,0,0,1,20,916,33,112,1,0,1,15,6,0,4,0
1,0,0,0,1,20,77,34,15,1,0,1,15,6,0,4,0
8,0,1,16,158,208,974,35,119,8,0,158,15,28,1,9,1
2,0,1,15,105,148,975,36,119,2,0,105,15,37,1,11,1
2,0,0,15,94,135,976,37,119,2,0,94,15,28,1,10,1
2,0,1,6,37,67,977,38,119,2,0,37,8,9,0,6,0
2,0,0,9,89,114,978,39,119,2,0,89,288,10,0,6,1
3,0,1,6,53,87,979,40,119,3,0,53,15,34,1,11,1
34,0,7,36,480,590,980,41,119,34,0,480,753,75,8,11,1
5,0,1,4,57,93,981,42,119,5,0,57,15,25,1,11,1
3,0,1,12,84,120,982,43,119,3,0,84,15,35,1,11,1
4,0,1,16,99,144,983,44,119,4,0,99,15,52,9,13,1
67,0,1,64,812,931,984,45,119,67,0,812,15,160,10,14,1
11,0,0,5,199,262,985,46,119,11,0,199,15,37,1,10,1
14,0,1,28,254,313,986,47,119,14,0,254,15,67,5,13,1
13,0,2,29,236,307,987,48,119,13,0,236,15,55,3,10,1
12,0,1,21,206,261,988,49,119,12,0,206,15,46,3,10,1
4,0,1,15,97,139,989,50,119,4,0,97,15,33,1,11,1
1,0,1,2,11,36,990,51,119,1,0,11,288,29,1,8,1
2,0,1,6,76,112,991,52,119,2,0,76,15,38,1,12,1
2,0,1,6,42,72,993,53,119,2,0,42,2053,19,0,6,0
1,0,0,0,1,21,992,54,119,1,0,1,15,7,0,5,0
1,0,1,6,12,42,1706,55,171,1,0,12,8,19,0,6,0
1,0,1,7,43,80,1707,56,171,1,0,43,15,26,0,8,1
1,0,1,9,17,50,1708,57,171,1,0,17,51,25,0,7,1
1,0,1,6,12,41,1709,58,171,1,0,12,2899,14,0,4,0
1,0,1,5,11,38,1710,59,171,1,0,11,2053,8,0,3,0
14,0,1,7,146,199,1711,60,171,14,0,146,753,81,9,10,1
1,0,1,1,4,27,1712,61,171,1,0,4,831,11,0,4,0
1,0,1,2,5,30,1713,62,171,1,0,5,15,11,0,6,1
26,0,1,10,244,295,1715,63,171,26,0,244,15,133,8,12,1
1,0,1,1,4,27,1716,64,171,1,0,4,2053,5,0,4,0
1,0,1,2,6,31,1717,65,171,1,0,6,2053,9,0,4,0
40,0,0,15,228,289,1777,66,179,40,0,228,15,55,1,11,1
59,0,1,13,403,473,1778,67,179,59,0,403,15,216,11,14,1
2,0,1,11,110,148,1779,68,179,2,0,110,15,61,1,12,1
7,0,1,15,136,186,1780,69,179,7,0,136,15,49,1,10,1
14,0,1,9,147,194,1781,70,179,14,0,147,15,38,0,8,1
1,0,0,0,1,20,1782,71,179,1,0,1,15,6,0,4,0
1,0,0,0,1,21,1714,72,171,1,0,1,15,6,0,4,0
11,0,1,12,128,169,2060,73,199,11,0,128,15,16,0,8,1
15,0,1,16,147,195,2062,74,199,15,0,147,15,70,0,12,1
19,0,0,0,149,196,2063,75,199,19,0,149,15,48,0,9,1
30,0,1,12,208,259,2064,76,199,30,0,208,15,10,0,6,1
1,0,0,0,1,21,2061,77,199,1,0,1,15,6,0,4,0
2,0,1,1,17,43,2081,78,202,2,0,17,15,13,0,6,0
1,0,1,5,35,63,2082,79,202,1,0,35,2899,20,3,6,0
7,0,1,21,143,189,2083,80,202,7,0,143,15,48,4,11,0
5,0,1,9,81,114,2084,81,202,5,0,81,15,35,5,9,0
3,0,0,0,53,85,2085,82,202,3,0,53,15,33,0,9,0
4,0,1,10,66,101,2086,83,202,4,0,66,753,25,3,6,0
1,0,1,5,35,63,2087,84,202,1,0,35,2899,20,3,6,0
1,0,0,0,1,20,2088,85,202,1,0,1,15,6,0,4,0
