McCC,CLOC,LLOC,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
1,0,5,1118,1,0,1,0
4,0,34,2899,15,0,3,0
1,0,19,575,3,0,1,0
1,0,9,1118,2,0,2,0
1,0,59,1118,6,0,3,0
4,0,56,1118,5,0,3,0
2,0,25,1118,6,0,3,0
2,0,14,1118,2,0,2,0
35,0,154,1118,11,0,3,0
1,0,32,1118,10,0,3,0
1,0,187,1118,2,0,2,0
29,0,165,831,15,1,5,0
67,0,362,831,20,2,4,1
4,0,223,2899,9,1,2,0
24,0,128,2899,37,0,5,1
8,0,56,1118,6,0,1,0
1,0,11,2899,3,0,1,0
8,0,185,1118,2,0,2,0
158,0,1192,831,205,1,6,1
146,0,1038,831,87,2,6,1
2,0,47,1118,12,0,3,0
1,0,43,575,5,0,2,0
46,0,317,575,28,0,3,1
131,0,1475,831,8,0,4,1
6,0,61,2899,34,0,3,0
4,0,42,2899,4,0,3,0
4,0,48,2899,2,0,2,0
1,0,141,1118,62,0,3,1
376,0,1659,831,256,3,6,1
594,0,3554,831,368,3,6,1
1,0,52,1118,11,0,1,0
1,0,17,1118,5,0,2,0
11,0,176,1118,2,0,2,0
7,0,50,2899,3,0,2,0
1,0,19,1118,1,0,1,0
1,0,18,1118,1,0,1,0
3,0,39,1118,2,0,2,0
1,0,62,1118,3,0,2,0
15,0,94,831,11,0,4,1
3,0,58,575,2,0,2,0
1,0,5,1118,3,0,1,0
30,0,178,2899,6,0,2,1
1,0,46,1118,3,0,2,0
1,0,6,1118,1,0,1,0
1,0,8,1118,5,0,2,0
65,0,561,831,76,2,6,1
12,0,96,1118,22,0,3,0
3,0,25,1118,4,0,1,0
110,0,787,831,227,0,6,1
2,0,10,1118,6,0,2,0
4,0,235,2899,70,0,5,1
1,0,5,1118,3,0,1,0
1,0,4,2899,2,0,1,0
9,0,103,1118,3,0,3,0
1,0,4,1118,2,0,1,0
1,0,20,1118,6,0,1,0
1,0,4,1118,2,0,1,0
1,0,6,575,1,0,1,1
6,0,52,1118,13,0,3,0
9,0,127,831,15,0,5,0
85,0,415,2899,71,0,4,0
1,0,4,2899,1,0,1,0
4,0,102,1118,5,0,2,0
1,0,4,1118,1,0,1,0
1,0,7,2899,2,0,1,0
10,0,174,831,6,0,4,0
4,0,36,1118,6,0,1,0
1,0,6,831,6,1,3,0
16,0,167,2899,28,1,4,0
1,0,18,2899,8,0,3,1
48,0,854,2899,20,1,2,1
34,0,160,831,17,1,5,1
1,0,4,1118,1,0,1,0
19,0,149,2899,33,0,3,0
1,0,5,2899,2,0,2,0
7,0,264,1118,2,0,2,1
1,0,27,1118,5,0,1,0
42,0,232,831,15,1,4,0
1,0,10,1118,2,0,2,0
56,0,527,831,178,1,6,1
1,0,21,1118,14,0,3,0
18,0,50,2899,8,0,4,1
5,0,28,1118,3,0,1,0
190,0,913,831,144,2,5,1
25,0,167,1118,30,0,3,0
1,0,4,1118,3,0,1,0
1,0,19,1118,2,0,2,0
1,0,7,2899,7,0,3,0
25,0,307,1118,3,0,2,0
1,0,99,2899,69,1,4,0
7,0,240,831,46,0,5,1
1,0,10,1118,1,0,1,0
1,0,14,2899,3,0,1,0
24,0,389,831,4,0,3,0
1,0,5,1118,4,0,2,1
7,0,173,1118,2,0,2,1
1,0,37,831,11,0,3,0
8,0,45,2899,14,1,5,0
1,0,4,1118,3,0,1,0
74,0,360,831,22,1,5,1
27,0,517,2899,22,0,3,0
15,0,179,1118,41,0,3,0
14,0,124,831,23,0,5,1
1,0,8,2899,6,0,3,0
7,0,129,1118,2,0,2,0
85,0,395,2899,51,4,3,1
1,0,15,1118,4,0,1,0
16,0,105,831,15,0,4,0
6,0,32,1118,7,0,1,0
1,0,18,1118,8,0,3,0
1,0,6,2899,2,0,2,0
1,0,5,2899,2,0,2,0
1,0,7,2899,2,0,2,0
1,0,5,575,1,0,1,0
1,0,9,1118,7,0,2,0
33,0,252,1118,18,0,2,0
1,0,9,1118,3,0,2,0
1,0,11,1118,3,0,2,0
1,0,59,1118,21,0,4,0
3,0,22,1118,5,0,1,0
1,0,8,1118,8,0,1,0
1,0,5,1118,4,0,1,0
9,0,147,575,40,0,4,0
1,0,34,575,19,0,2,0
1,0,4,1118,4,0,1,0
1,0,23,1118,8,0,1,0
1,0,6,1118,7,0,1,0
1,0,12,1118,5,0,2,0
1,0,5,1118,7,0,1,0
1,0,4,1118,5,0,1,0
1,0,8,1118,11,0,2,0
1,0,61,831,39,0,4,0
12,0,78,575,15,0,3,0
1,0,30,575,3,0,2,0
1,0,30,1118,6,0,2,0
1,0,6,1118,5,0,1,0
1,0,6,1118,7,0,1,0
1,0,36,1118,5,0,3,0
1,0,4,1118,7,0,2,0
1,0,27,1118,2,0,1,0
3,0,20,1118,2,0,1,0
1,0,6,1118,6,0,1,0
1,0,9,1118,7,0,2,0
5,0,41,831,8,0,5,0
1,0,4,1118,2,0,1,0
1,0,11,1118,3,0,1,0
1,0,4,2899,5,0,2,0
1,0,13,1118,7,0,2,0
1,0,9,1118,9,0,1,0
1,0,6,1118,3,0,1,0
1,0,9,1118,8,0,1,0
1,0,5,1118,2,0,2,0
1,0,16,2899,16,0,3,0
1,0,28,575,9,0,3,0
2,0,28,1118,6,0,1,0
1,0,6,1118,7,0,1,0
1,0,12,1118,2,0,1,0
1,0,5,1118,8,0,2,0
1,0,33,831,13,0,3,0
1,0,25,1118,5,0,1,0
1,0,4,1118,3,0,1,0
1,0,26,1118,14,0,4,1
1,0,8,831,2,0,2,0
1,0,4,1118,3,0,1,0
1,0,16,575,6,0,2,0
1,0,12,1118,7,0,1,0
1,0,21,1118,6,0,1,0
1,0,18,1118,8,0,1,0
1,0,34,1118,6,0,1,0
3,0,33,1118,2,0,2,0
1,0,16,1118,8,0,1,1
18,0,129,2899,29,1,4,0
145,0,794,831,118,1,5,1
37,0,270,2899,62,1,5,1
4,0,14,1118,6,0,1,0
1,0,7,1118,7,0,1,0
2,0,73,1118,16,0,4,0
6,0,98,1118,15,0,3,0
1,0,36,1118,7,0,1,0
10,0,74,1118,10,0,2,0
4,0,31,1118,7,0,1,0
6,0,65,2899,11,1,2,1
1,0,6,1118,5,0,1,0
1,0,7,1118,6,0,1,0
1,0,30,1118,10,0,1,0
