numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,target,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs
65,4,0,8,608.0,158.0,935.385,566.0,158.0,870.769,42.0,15.0,0.646154,350.571,630.609,0,0,0,0,0
2,0,0,2,10.0,10.0,5.0,0.0,0.0,0.0,10.0,10.0,5.0,117.714,0.0,0,0,0,0,0
120,10,0,12,1361.0,99.0,113.417,768.0,77.0,6.4,593.0,66.0,494.167,238.429,104.204,1,0,0,0,0
28,4,0,5,138.0,39.0,492.857,123.0,39.0,439.286,15.0,23.0,0.535714,367.0,112.678,0,0,0,0,0
93,17,0,8,1870.0,684.0,201.075,1881.0,692.0,202.258,-11.0,18.0,-0.11828,367.0,549.702,0,0,0,0,0
16,5,0,5,37.0,6.0,23.125,17.0,6.0,10.625,20.0,4.0,1.25,264.857,488.224,0,0,0,0,0
30,5,0,5,535.0,142.0,178.333,74.0,13.0,246.667,461.0,142.0,153.667,226.0,32.259,0,0,0,0,0
7,6,0,2,14.0,7.0,2.0,29.0,27.0,414.286,-15.0,4.0,-214.286,150.714,121.531,0,0,0,0,0
52,5,0,7,1075.0,343.0,206.731,889.0,343.0,170.962,186.0,68.0,357.692,367.0,811.875,0,0,0,0,0
23,5,0,6,122.0,42.0,530.435,138.0,42.0,6.0,-16.0,16.0,-0.695652,367.0,844.309,0,0,0,0,0
25,8,0,5,228.0,82.0,9.12,61.0,8.0,2.44,167.0,74.0,6.68,229.714,104.781,0,0,0,0,0
11,4,0,3,193.0,81.0,175.455,12.0,4.0,109.091,181.0,81.0,164.545,222.857,131.984,0,0,0,0,0
32,7,0,5,219.0,89.0,684.375,207.0,89.0,646.875,12.0,11.0,0.375,367.0,539.478,0,0,0,0,0
52,3,0,5,991.0,226.0,190.577,633.0,148.0,121.731,358.0,161.0,688.462,367.0,136.59,0,0,0,0,0
13,2,0,4,91.0,31.0,7.0,49.0,14.0,376.923,42.0,17.0,323.077,175.0,354.835,0,0,0,0,0
9,5,0,4,11.0,5.0,122.222,10.0,5.0,111.111,1.0,1.0,0.111111,224.857,863.117,0,0,0,0,0
193,30,0,12,6571.0,1071.0,340.466,6072.0,1123.0,314.611,499.0,174.0,258.549,367.0,111.711,1,0,0,0,0
12,2,0,5,228.0,53.0,19.0,162.0,35.0,13.5,66.0,40.0,5.5,193.571,472.807,0,0,0,0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,785.714,0.0,0,0,0,0,0
91,8,0,9,6880.0,1627.0,756.044,5271.0,1359.0,579.231,1609.0,583.0,176.813,236.0,960.161,1,0,0,0,0
35,6,0,7,405.0,155.0,115.714,409.0,155.0,116.857,-4.0,12.0,-0.114286,367.0,464.272,0,0,0,0,0
6,3,0,3,104.0,49.0,173.333,6.0,4.0,1.0,98.0,49.0,163.333,228.857,148.173,0,0,0,0,0
43,6,0,6,409.0,105.0,951.163,317.0,110.0,737.209,92.0,79.0,213.953,367.0,133.861,1,0,0,0,0
168,12,0,10,2126.0,307.0,126.548,1719.0,307.0,102.321,407.0,63.0,242.262,367.0,129.876,1,0,0,0,0
20,4,0,7,115.0,14.0,5.75,175.0,94.0,8.75,-60.0,5.0,-3.0,244.571,998.596,0,0,0,0,0
92,12,0,9,2972.0,319.0,323.043,3264.0,892.0,354.783,-292.0,168.0,-317.391,239.143,494.217,1,0,0,0,0
76,10,0,7,1763.0,600.0,231.974,1852.0,600.0,243.684,-89.0,43.0,-117.105,367.0,810.014,1,0,0,0,0
54,8,0,7,740.0,243.0,137.037,669.0,243.0,123.889,71.0,85.0,131.481,367.0,941.838,0,0,0,0,0
4,1,0,4,18.0,17.0,4.5,7.0,6.0,1.75,11.0,11.0,2.75,141.714,232.937,0,0,0,0,0
149,12,0,11,5262.0,483.0,353.154,4660.0,483.0,312.752,602.0,226.0,404.027,367.0,148.462,0,0,0,0,0
2,1,0,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,127.0,692.857,0,0,0,0,0
10,4,0,3,60.0,32.0,6.0,61.0,33.0,6.1,-1.0,0.0,-0.1,322.714,974.809,0,0,0,0,0
47,7,0,5,320.0,52.0,680.851,262.0,52.0,557.447,58.0,20.0,123.404,367.0,924.138,0,0,0,0,0
37,6,0,6,284.0,64.0,767.568,258.0,64.0,697.297,26.0,22.0,0.702703,367.0,81.749,0,0,0,0,0
82,7,0,8,2577.0,325.0,314.268,2733.0,325.0,333.293,-156.0,81.0,-190.244,367.0,775.985,1,0,0,0,0
29,4,0,5,184.0,69.0,634.483,185.0,69.0,637.931,-1.0,6.0,-0.0344828,367.0,493.261,0,0,0,0,0
39,14,0,7,465.0,167.0,119.231,264.0,167.0,676.923,201.0,74.0,515.385,333.143,70.569,0,0,0,0,0
7,0,0,1,23.0,11.0,328.571,6.0,4.0,0.857143,17.0,10.0,242.857,16.0,203.106,0,0,0,0,0
89,9,0,9,2001.0,399.0,224.831,1889.0,399.0,212.247,112.0,117.0,125.843,367.0,118.103,1,1,0,0,0
81,18,0,9,1835.0,349.0,226.543,1569.0,379.0,193.704,266.0,79.0,328.395,367.0,130.299,1,0,0,0,0
32,1,0,4,413.0,92.0,129.062,122.0,26.0,38.125,291.0,80.0,909.375,175.714,249.862,0,0,0,0,0
58,11,0,7,1851.0,721.0,319.138,1730.0,721.0,298.276,121.0,77.0,208.621,367.0,493.741,0,0,0,0,0
86,11,0,8,1629.0,335.0,189.419,1535.0,335.0,178.488,94.0,65.0,109.302,367.0,764.774,0,0,0,0,0
2,1,0,2,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,165.714,135.714,0,0,0,0,0
24,5,0,4,167.0,70.0,695.833,174.0,70.0,7.25,-7.0,8.0,-0.291667,367.0,663.601,0,0,0,0,0
11,4,0,6,21.0,4.0,190.909,17.0,4.0,154.545,4.0,3.0,0.363636,282.0,827.755,0,0,0,0,0
7,2,0,2,139.0,75.0,198.571,28.0,13.0,4.0,111.0,63.0,158.571,914.286,158.068,0,0,0,0,0
10,3,0,6,16.0,5.0,1.6,28.0,18.0,2.8,-12.0,5.0,-1.2,271.0,864.107,0,0,0,0,0
7,6,0,1,12.0,4.0,171.429,10.0,4.0,142.857,2.0,2.0,0.285714,168.857,933.452,0,0,0,0,0
18,9,1,6,211.0,84.0,117.222,53.0,14.0,294.444,158.0,84.0,877.778,222.714,216.087,0,0,0,0,0
224,16,0,12,6579.0,1041.0,293.705,5717.0,1041.0,255.223,862.0,146.0,384.821,367.0,115.991,1,0,1,0,0
10,2,0,2,86.0,60.0,8.6,62.0,51.0,6.2,24.0,9.0,2.4,105.0,223.239,0,0,0,0,0
12,3,0,5,233.0,165.0,194.167,78.0,34.0,6.5,155.0,131.0,129.167,184.714,788.087,0,0,0,0,0
15,4,0,5,121.0,69.0,806.667,119.0,69.0,793.333,2.0,6.0,0.133333,367.0,689.906,0,0,0,0,0
27,5,0,5,152.0,42.0,562.963,182.0,32.0,674.074,-30.0,41.0,-111.111,367.0,624.445,0,0,0,0,0
73,16,0,8,2096.0,439.0,287.123,1160.0,439.0,158.904,936.0,282.0,128.219,333.143,840.883,0,0,0,0,0
50,6,0,8,574.0,115.0,11.48,707.0,115.0,14.14,-133.0,14.0,-2.66,367.0,119.907,1,0,0,0,0
26,6,0,6,112.0,54.0,430.769,89.0,54.0,342.308,23.0,7.0,0.884615,355.714,798.367,0,0,0,0,0
60,3,0,7,986.0,170.0,164.333,1102.0,170.0,183.667,-116.0,35.0,-193.333,367.0,741.623,1,0,0,0,0
3,0,0,1,149.0,149.0,496.667,149.0,149.0,496.667,0.0,149.0,0.0,60.0,128.571,0,0,0,0,0
14,4,0,5,53.0,9.0,378.571,61.0,9.0,435.714,-8.0,0.0,-0.571429,322.714,689.003,0,0,0,0,0
37,6,0,6,177.0,65.0,478.378,167.0,65.0,451.351,10.0,11.0,0.27027,367.0,820.153,0,0,0,0,0
16,2,0,4,151.0,30.0,94.375,109.0,31.0,68.125,42.0,19.0,2.625,169.143,468.515,0,0,0,0,0
110,7,0,9,1350.0,176.0,122.727,1190.0,176.0,108.182,160.0,30.0,145.455,367.0,923.705,0,0,0,0,0
31,2,0,6,571.0,152.0,184.194,578.0,152.0,186.452,-7.0,6.0,-0.225806,367.0,615.161,0,0,0,0,0
10,4,0,3,29.0,9.0,2.9,30.0,10.0,3.0,-1.0,0.0,-0.1,322.714,509.852,0,0,0,0,0
84,31,0,8,2092.0,395.0,249.048,1163.0,62.0,138.452,929.0,395.0,110.595,223.429,469.666,1,0,0,0,0
14,4,0,4,279.0,92.0,199.286,43.0,10.0,307.143,236.0,88.0,168.571,224.857,869.329,0,0,0,0,0
61,13,0,8,667.0,241.0,109.344,705.0,241.0,115.574,-38.0,5.0,-0.622951,367.0,796.989,1,0,0,0,0
36,3,0,5,842.0,188.0,233.889,593.0,97.0,164.722,249.0,123.0,691.667,367.0,157.823,0,0,0,0,0
13,2,0,4,74.0,29.0,569.231,50.0,29.0,384.615,24.0,29.0,184.615,139.714,13.749,0,0,0,0,0
50,6,0,8,271.0,42.0,5.42,217.0,42.0,4.34,54.0,27.0,1.08,367.0,128.633,0,0,0,0,0
49,4,0,7,405.0,136.0,826.531,338.0,136.0,689.796,67.0,17.0,136.735,367.0,104.855,0,0,0,0,0
28,6,0,7,407.0,225.0,145.357,365.0,225.0,130.357,42.0,32.0,1.5,329.0,741.846,1,0,0,0,0
74,8,0,8,1181.0,247.0,159.595,1310.0,247.0,177.027,-129.0,33.0,-174.324,367.0,749.741,1,0,0,0,0
9,4,0,4,17.0,4.0,188.889,21.0,6.0,233.333,-4.0,0.0,-0.444444,256.571,483.193,0,0,0,0,0
6,3,0,3,148.0,71.0,246.667,6.0,4.0,1.0,142.0,71.0,236.667,222.857,10.582,0,0,0,0,0
34,12,0,7,316.0,123.0,929.412,181.0,123.0,532.353,135.0,60.0,397.059,333.143,709.878,0,0,0,0,0
13,4,0,7,52.0,17.0,4.0,7.0,4.0,0.538462,45.0,17.0,346.154,226.571,292.555,0,0,0,0,0
11,4,0,5,18.0,5.0,163.636,21.0,5.0,190.909,-3.0,0.0,-0.272727,319.714,891.905,0,0,0,0,0
44,9,0,6,292.0,61.0,663.636,271.0,61.0,615.909,21.0,16.0,0.477273,367.0,782.143,0,0,0,0,0
41,5,0,8,535.0,87.0,130.488,363.0,87.0,885.366,172.0,41.0,419.512,329.0,802.275,0,0,0,0,0
18,5,0,4,134.0,64.0,744.444,136.0,64.0,755.556,-2.0,5.0,-0.111111,367.0,538.454,0,0,0,0,0
52,10,0,7,355.0,130.0,682.692,355.0,130.0,682.692,0.0,10.0,0.0,367.0,511.952,0,0,0,0,0
24,7,0,7,267.0,108.0,11.125,124.0,44.0,516.667,143.0,64.0,595.833,278.571,145.973,1,0,0,0,0
9,3,0,5,12.0,4.0,133.333,11.0,4.0,122.222,1.0,1.0,0.111111,236.0,611.071,0,0,0,0,0
42,3,0,6,254.0,53.0,604.762,255.0,53.0,607.143,-1.0,5.0,-0.0238095,367.0,849.809,0,0,0,0,0
19,6,0,5,101.0,37.0,531.579,22.0,4.0,115.789,79.0,37.0,415.789,229.714,16.587,0,0,0,0,0
17,3,0,6,80.0,15.0,470.588,37.0,6.0,217.647,43.0,9.0,252.941,239.143,495.089,0,0,0,0,0
19,6,0,5,70.0,23.0,368.421,89.0,23.0,468.421,-19.0,11.0,-1.0,270.143,145.004,0,0,0,0,0
7,0,0,1,94.0,34.0,134.286,73.0,26.0,104.286,21.0,11.0,3.0,957.143,371.581,0,0,0,0,0
39,14,0,8,431.0,164.0,110.513,258.0,164.0,661.538,173.0,74.0,44.359,333.143,723.752,0,0,0,0,0
22,4,0,8,105.0,23.0,477.273,66.0,23.0,3.0,39.0,19.0,177.273,248.571,692.898,1,0,0,0,0
84,8,0,8,919.0,251.0,109.405,803.0,251.0,955.952,116.0,18.0,138.095,367.0,875.335,0,0,0,0,0
