McCC,CLOC,LLOC,Number of committers,Number of developer commits,Number of previous fixes,Number of previous modifications,target
1,0,8,1,14,2,5,0
3,0,52,3,8,0,5,0
1,0,1,0,0,0,1,0
4,0,30,3,8,0,5,0
1,0,26,3,8,0,5,0
1,0,24,3,8,0,5,0
23,0,161,10,8,0,26,0
2,0,12,5,8,0,9,0
13,0,65,3,8,0,5,0
1,0,22,3,8,0,5,0
4,0,67,4,8,0,14,0
7,0,66,3,8,0,11,0
1,0,23,3,8,0,5,0
1,0,1,0,0,0,1,0
1,0,4,3,8,0,5,0
1,0,5,3,8,0,5,0
9,0,230,4,8,0,7,0
1,0,36,3,8,0,5,0
1,0,7,3,8,0,5,0
9,0,101,3,8,0,5,0
25,0,183,7,8,1,16,0
32,0,243,3,8,0,6,0
1,0,1,0,0,0,1,0
1,0,11,3,8,0,5,0
1,0,11,7,8,1,79,0
1,0,1,0,0,0,1,0
7,0,93,3,8,0,5,0
13,0,127,3,8,0,6,0
1,0,9,7,8,0,12,0
1,0,9,8,8,0,16,0
26,0,290,14,8,5,66,0
4,0,41,6,8,0,25,0
1,0,9,7,8,0,14,0
1,0,9,7,8,0,12,0
1,0,9,8,8,0,37,0
13,0,86,5,8,0,10,0
1,0,11,9,8,0,15,0
1,0,10,5,8,0,9,0
1,0,1,3,8,0,5,0
1,0,9,7,8,0,27,0
1,0,16,5,8,0,9,0
5,0,55,6,8,0,26,0
3,0,38,3,8,0,6,0
6,0,51,5,8,0,7,0
12,0,52,4,8,0,13,0
1,0,8,3,8,0,8,0
2,0,19,6,8,3,15,0
1,0,5,9,8,0,12,0
6,0,42,11,8,0,29,0
1,0,7,9,8,0,12,0
6,0,76,3,8,0,11,0
1,0,46,7,8,0,45,0
1,0,1,1,20,0,3,0
2,0,36,7,8,0,19,0
7,0,88,12,14,2,51,1
2,0,32,5,8,0,7,0
1,0,25,6,8,0,24,0
1,0,7,10,8,0,19,0
2,0,32,8,8,0,16,0
2,0,20,5,8,0,9,0
9,0,84,14,8,2,42,0
1,0,12,5,8,0,12,0
1,0,6,5,8,0,20,0
8,0,81,12,8,2,39,0
3,0,35,8,8,2,19,0
1,0,13,11,104,0,27,0
1,0,16,10,8,0,26,0
1,0,21,5,8,0,16,0
1,0,4,5,8,0,11,0
14,0,145,15,8,2,60,0
5,0,86,10,8,0,36,0
1,0,1,0,0,0,1,0
2,0,56,5,8,0,32,0
1,0,63,10,8,2,33,0
1,0,9,5,8,0,15,0
1,0,12,5,8,0,12,0
1,0,7,5,8,0,10,0
19,0,216,12,8,5,105,0
1,0,7,5,8,0,9,0
1,0,16,10,8,0,22,0
1,0,1,0,0,0,3,0
19,0,192,14,8,6,73,0
19,0,218,8,8,6,72,1
3,0,64,6,8,0,58,0
23,0,133,4,8,0,28,0
1,0,7,4,8,0,15,0
1,0,7,3,8,0,7,0
12,0,110,3,8,0,43,0
8,0,122,4,8,0,31,0
3,0,23,3,8,0,7,0
1,0,33,4,8,0,14,0
2,0,41,6,8,0,20,0
1,0,8,3,9,0,10,0
1,0,6,0,0,0,1,1
1,0,6,0,0,0,1,1
9,0,76,3,8,0,7,0
1,0,7,3,8,0,5,0
1,0,5,3,8,0,5,1
1,0,25,3,8,0,10,1
15,0,178,6,8,0,42,1
1,0,7,3,8,0,5,0
4,0,45,3,8,0,8,0
4,0,37,3,8,0,7,0
2,0,13,3,8,0,6,0
1,0,18,3,8,0,5,0
2,0,16,3,8,0,6,0
1,0,10,3,8,0,8,0
1,0,9,3,8,0,6,0
3,0,21,3,8,0,6,0
1,0,41,5,8,0,8,0
1,0,29,5,8,0,7,0
1,0,29,5,8,0,7,0
8,0,36,7,8,0,15,0
2,0,26,8,8,0,17,0
2,0,26,3,8,0,7,0
1,0,1,0,0,0,1,0
1,0,20,3,8,0,5,0
9,0,67,3,8,0,6,0
6,0,55,3,8,0,19,1
1,0,6,3,8,0,6,0
1,0,20,3,8,0,7,0
15,0,136,4,8,0,20,0
8,0,121,3,8,0,17,0
21,0,143,3,8,0,6,0
11,0,78,3,8,0,6,0
1,0,1,0,0,0,1,0
3,0,24,3,8,0,6,0
14,0,88,5,8,0,10,0
4,0,53,3,8,0,6,0
8,0,68,5,8,1,25,0
