Type,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,numberOfBugsFoundUntil:,numberOfNonTrivialBugsFoundUntil:,numberOfMajorBugsFoundUntil:,numberOfCriticalBugsFoundUntil:,numberOfHighPriorityBugsFoundUntil:,target,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc
0,35,1,50,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,1,2,0,3,0.333333,0.434783,10,10,1,2,0.434783,10,0,0,0,0,0,13,16,0,2,0,2,3,0,2,0,3,2,0,2,0,13,16,0,2,0,2,3,0,2,0,3,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,194.143,0.0,1.43177,0.0129918,0.00146826,0.0312605,9.22005e-06,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,9.0,0.0,1.0,0.0,2.0,3.0,3.0
0,97,1,377,2,0.0,0,0,0,0.0,0.0,0,0,1,6,6,48,20,1,2,40,53,0.333333,0.160643,40,20,3,6,0.160784,41,0,0,0,0,0,209,276,8,2,8,2,13,0,8,0,13,158,0,8,0,214,281,8,2,8,2,14,0,9,0,14,161,0,9,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,251.857,30.8571,1.43177,0.0259836,0.00146826,0.0312605,9.22005e-06,21.0,1.0,1.0,20.0,78.0,0.0,8.0,0.0,232.0,13.0,9.0,8.0,5.0,0.0,8.0,147.0,48.0
0,78,1,354,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,46,3,0,0,7,21,0.666667,0.196721,48,27,2,1,0.193916,51,0,0,0,0,0,196,255,19,2,19,2,14,1,2,0,14,119,1,2,0,212,277,24,2,24,2,16,1,3,0,16,124,1,3,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,251.857,17.8571,1.43177,0.0129918,0.00146826,0.0312605,9.22005e-06,12.0,1.0,0.0,12.0,78.0,0.0,19.0,0.0,188.0,13.0,9.0,0.0,11.0,4.0,2.0,80.0,40.0
0,21,1,29,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,0,0,0,0,2,1.0,0.76,19,18,2,0,0.76,19,0,0,0,0,0,6,9,0,0,0,0,2,0,1,0,2,1,0,1,0,6,9,0,0,0,0,2,0,1,0,2,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,7.0,6.0,2.33333,6.0,5.0,2.0,1.0,1.0,0.333333,186.571,74.3265,2.52013,0.00852783,0.00418069,0.0611694,0.00117101,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,9.0,0.0,1.0,0.0,1.0,3.0,2.0
0,30,1,81,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,5,1,155,71,0,5,1.0,0.679245,36,36,4,0,0.679245,36,0,0,48,48,0,17,52,1,2,1,2,5,0,3,1,5,4,0,3,1,17,52,1,2,1,2,5,0,3,1,5,4,0,3,1,2.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,11.0,1.0,0.0,8.0,78.0,28.0,7.09091,88.0,51.0,8.0,-10.0,27.0,-0.909091,368.143,237.31,7.3729,0.0854729,0.0176392,0.194196,0.0254562,50.0,1.0,50.0,0.0,15.0,33.0,1.0,0.0,12.0,6.0,9.0,1.0,0.0,0.0,4.0,9.0,4.0
0,35,1,73,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,8,3,7,15,3,7,0.25,0.302326,13,10,1,3,0.302326,13,2,2,0,0,1,30,39,3,0,2,0,4,0,3,0,11,16,0,9,0,30,39,3,0,2,0,4,0,3,0,11,16,0,9,0,3.0,3.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,90.0,72.0,22.5,85.0,72.0,21.25,5.0,4.0,1.25,75.4286,51.7698,4.85274,0.0507359,0.0496314,0.208631,0.154835,7.0,3.0,6.0,1.0,6.0,0.0,2.0,1.0,30.0,4.0,16.0,2.0,1.0,0.0,3.0,14.0,8.0
0,35,1,288,2,0.0,0,0,0,0.0,0.0,0,0,2,3,3,59,1,6,9,1,20,0.615385,0.183486,40,38,8,5,0.180723,45,0,0,0,0,0,178,220,4,4,4,4,19,0,12,0,19,127,0,12,0,204,254,6,4,6,4,25,0,16,0,25,138,0,16,0,4.0,4.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,219.0,206.0,43.8,80.0,68.0,16.0,139.0,138.0,27.8,60.7143,14.4279,4.10964,0.196315,0.0171903,0.129112,0.0424604,5.0,1.0,1.0,4.0,45.0,0.0,4.0,0.0,98.0,10.0,0.0,4.0,4.0,0.0,6.0,34.0,32.0
0,24,1,97,2,0.0,0,0,0,0.0,0.0,0,0,1,4,4,14,2,4,6,8,13,0.25,0.205882,14,8,1,3,0.205882,14,2,2,3,4,1,54,74,7,0,6,0,5,0,3,0,13,35,0,9,0,54,74,7,0,6,0,5,0,3,0,13,35,0,9,0,3.0,3.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0,84.0,27.0,8.4,107.0,51.0,10.7,-23.0,9.0,-2.3,349.857,198.361,5.46076,0.0423946,0.0445186,0.210853,0.12351,3.0,3.0,1.0,2.0,10.0,3.0,6.0,1.0,55.0,5.0,16.0,6.0,0.0,0.0,3.0,15.0,13.0
0,27,1,252,2,0.676385,9,232,28,0.628319,0.720812,142,142,1,3,3,84,3,2,2,5,8,0.5,0.366559,114,26,2,2,0.366559,114,2,2,0,0,1,197,226,3,0,2,0,3,0,3,0,10,112,0,9,0,197,226,3,0,2,0,3,0,3,0,10,112,0,9,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,175.0,170.0,35.0,178.0,170.0,35.6,-3.0,0.0,-0.6,183.286,0.0604082,1.97962,0.383604,0.00218663,0.043934,2.57962e-05,4.0,3.0,2.0,2.0,3.0,0.0,2.0,1.0,216.0,3.0,16.0,2.0,0.0,0.0,3.0,8.0,44.0
0,27,1,42,2,0.0,0,0,0,0.0,0.0,0,0,2,1,1,3,4,4,0,4,6,0.333333,0.2,4,4,1,2,0.2,4,1,1,0,0,1,16,16,1,2,0,0,2,0,2,0,6,7,0,4,1,16,16,1,2,0,0,2,0,2,0,6,7,0,4,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,4.0,2.0,0.8,23.0,20.0,4.6,-19.0,1.0,-3.8,191.143,7.82143,3.22194,0.0988745,0.00348845,0.0711839,3.64505e-05,6.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,12.0,3.0,15.0,0.0,0.0,0.0,3.0,8.0,3.0
