Type,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,target
0,14,1,39,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,5,1,1,4,5,0.5,0.363636,8,3,1,1,0.363636,8,0,0,0,0,0,14,26,0,0,0,0,1,0,1,0,1,9,0,1,0,14,26,0,0,0,0,1,0,1,0,1,9,0,1,0,0
0,14,1,39,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,5,1,1,11,12,0.5,0.307692,8,3,1,1,0.307692,8,0,0,0,0,0,18,26,0,0,0,0,1,0,1,0,1,6,0,1,0,18,26,0,0,0,0,1,0,1,0,1,6,0,1,0,0
0,14,1,52,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,1,1,5,6,0.5,0.780488,32,6,1,1,0.780488,32,0,0,0,0,0,9,39,0,0,0,0,1,0,1,0,1,3,0,1,0,9,39,0,0,0,0,1,0,1,0,1,3,0,1,0,0
0,14,1,123,2,0.270463,1,7,1,0.109091,0.160714,12,9,1,0,0,1,7,1,1,11,12,0.5,0.25,7,3,1,1,0.325301,27,0,0,0,0,0,21,65,0,0,0,0,1,0,1,0,1,16,0,1,0,56,110,10,2,2,2,7,0,7,0,7,34,8,7,0,0
0,95,9,107,10,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,2,1,0,3,5,0.333333,0.3125,5,5,1,2,0.3125,5,1,1,0,0,1,11,13,8,0,0,0,2,0,2,0,2,3,8,2,0,11,13,8,0,0,0,2,0,2,0,2,3,8,2,0,0
0,32,5,63,6,0.697248,1,7,1,0.375,0.375,12,9,1,1,1,11,0,2,3,0,4,0.2,0.384615,15,15,1,4,0.384615,15,0,0,0,0,0,24,32,2,2,2,2,4,0,4,0,4,15,0,4,0,24,32,2,2,2,2,4,0,4,0,4,15,0,4,0,0
0,14,1,55,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,4,0,0,6,7,0.5,0.478261,11,7,1,1,0.418605,18,0,0,0,0,0,12,20,0,0,0,0,1,0,1,0,1,3,0,1,0,25,42,28,1,1,0,3,0,1,0,63,8,0,41,0,0
0,18,5,39,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,4,1,1,2,4,1.0,0.35,7,5,1,0,0.35,7,1,1,0,0,1,13,22,28,1,1,0,2,0,0,0,62,5,0,40,0,13,22,28,1,1,0,2,0,0,0,62,5,0,40,0,0
0,17,1,44,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,5,1,1,3,4,0.5,0.478261,11,6,1,1,0.366667,11,0,0,0,0,0,12,21,0,0,0,0,1,0,1,0,1,8,0,1,0,19,28,0,0,0,0,2,0,2,0,2,15,0,2,0,0
0,27,81,35,10,0.0,0,0,0,0.0,0.0,0,0,1,3,1,4,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,9,9,0,0,0,0,1,0,1,0,1,7,0,1,0,9,9,0,0,0,0,1,0,1,0,1,7,0,1,0,0
