McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous modifications,Number of committers,Number of developer commits,Number of previous fixes,target
50,0,12,3,302,579,0,0,0,50,0,302,58,5,1302,1,1
36,0,41,15,264,662,1,1,0,36,0,264,7,1,1302,0,1
111,0,12,14,399,653,3,2,0,111,0,399,10,1,1302,0,1
452,0,5,42,2055,2738,4,3,0,452,0,2055,56,3,1302,4,1
26,0,13,3,200,440,2,4,0,26,0,200,11,2,1302,0,0
1,0,1,0,11,79,6,5,0,1,0,11,15,1,1302,0,1
39,0,5,33,430,586,5,6,0,39,0,430,2,1,1302,0,0
27,0,2,1,125,338,7,7,0,27,0,125,11,1,1302,2,0
110,0,48,35,818,1286,10,8,0,110,0,818,48,2,1302,1,1
34,0,36,5,345,799,11,9,0,34,0,345,71,2,1302,2,1
1,0,1,18,96,139,8,10,0,1,0,96,8,1,1302,1,0
4,0,2,17,108,157,9,11,0,4,0,108,8,1,1302,1,0
14,0,2,3,175,229,12,12,0,14,0,175,6,1,1302,0,0
1,0,15,2,23,217,13,13,0,1,0,23,22,2,1302,1,1
23,0,5,57,350,488,14,14,0,23,0,350,23,2,1302,1,1
91,0,2,32,216,315,15,15,0,91,0,216,7,1,1302,0,1
227,0,7,19,1197,1622,16,16,0,227,0,1197,53,3,1302,2,0
102,0,16,2,516,974,17,17,0,102,0,516,9,2,1302,0,0
57,0,1,11,407,731,18,18,0,57,0,407,7,1,1302,0,0
31,0,10,2,277,478,19,19,0,31,0,277,11,2,1302,0,0
3,0,9,6,37,118,20,20,0,3,0,37,6,2,1302,0,0
39,0,8,0,222,356,21,21,0,39,0,222,13,1,1302,1,1
39,0,4,31,294,398,22,22,0,39,0,294,11,2,1302,0,1
10,0,3,0,100,192,43,23,0,10,0,100,22,2,1302,0,0
485,0,1,5,1575,1927,44,24,0,485,0,1575,34,1,1302,0,1
62,0,1,10,454,639,45,25,0,62,0,454,28,2,1302,2,1
27,0,6,5,182,259,46,26,0,27,0,182,8,1,1302,2,1
56,0,1,25,479,630,47,27,0,56,0,479,29,1,1302,3,1
118,0,1,25,697,1054,48,28,0,118,0,697,51,1,1302,3,1
15,0,1,24,211,254,49,29,0,15,0,211,14,1,1302,0,0
100,0,1,14,659,873,50,30,0,100,0,659,43,1,1302,6,1
1,0,1,1,4,10,51,31,0,1,0,4,1,1,1302,0,0
52,0,1,28,349,431,52,32,0,52,0,349,7,1,1302,0,1
8,0,2,3,31,57,53,33,0,8,0,31,23,1,1302,2,1
1,0,1,0,3,10,54,34,0,1,0,3,1,1,1302,0,0
34,0,12,11,193,322,55,35,0,34,0,193,34,1,1302,2,0
85,0,9,72,607,841,56,36,0,85,0,607,40,2,1302,2,1
2,0,1,1,21,40,25,37,1,2,0,21,6,2,1302,0,0
2,0,1,1,24,40,26,38,1,2,0,24,2,1,1302,0,0
1,0,1,1,13,53,27,39,1,1,0,13,6,1,1302,0,0
8,0,2,5,63,129,28,40,1,8,0,63,10,2,1302,0,0
2,0,1,1,28,56,29,41,1,2,0,28,1,1,1302,0,0
5,0,1,1,26,45,30,42,1,5,0,26,1,1,1302,0,0
1,0,1,1,46,103,31,43,1,1,0,46,7,1,1302,0,0
1,0,1,1,22,68,32,44,1,1,0,22,5,1,1302,0,0
1,0,1,1,22,48,33,45,1,1,0,22,5,1,1302,0,0
2,0,1,1,22,47,34,46,1,2,0,22,5,1,1302,0,0
2,0,1,1,20,39,35,47,1,2,0,20,2,1,1302,0,0
1,0,1,1,16,42,38,48,1,1,0,16,2,1,1302,0,0
1,0,1,1,25,48,36,49,1,1,0,25,4,2,1302,0,0
1,0,1,1,21,37,37,50,1,1,0,21,3,1,1302,0,0
