McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,target
2,0,0,2,40,49,327,0,95,2.0,0.0,40.0,4.0,70.0,5.0,0.0,0
18,0,0,2,187,232,328,1,95,18.0,0.0,187.0,0.0,0.0,1.0,0.0,0
1,0,0,2,43,73,329,2,95,1.0,0.0,43.0,0.0,0.0,1.0,0.0,0
5,0,0,2,114,154,330,3,95,5.0,0.0,114.0,0.0,0.0,1.0,0.0,0
2,0,1,1,47,85,331,4,95,2.0,0.0,47.0,0.0,0.0,1.0,0.0,0
5,0,0,2,66,99,332,5,95,5.0,0.0,66.0,0.0,0.0,1.0,0.0,0
5,0,0,2,59,68,333,6,95,5.0,0.0,59.0,4.0,70.0,5.0,0.0,0
2,0,0,2,39,69,334,7,95,2.0,0.0,39.0,0.0,0.0,1.0,0.0,0
2,0,0,2,35,65,335,8,95,2.0,0.0,35.0,0.0,0.0,1.0,0.0,0
5,0,0,2,73,106,336,9,95,5.0,0.0,73.0,0.0,0.0,1.0,0.0,0
2,0,0,2,43,52,337,10,95,2.0,0.0,43.0,4.0,70.0,5.0,0.0,0
2,0,0,2,76,110,338,11,95,2.0,0.0,76.0,0.0,0.0,1.0,0.0,0
4,0,0,2,95,130,339,12,95,4.0,0.0,95.0,0.0,0.0,1.0,0.0,0
1,0,0,2,74,108,340,13,95,1.0,0.0,74.0,0.0,0.0,1.0,0.0,0
2,0,0,2,72,106,341,14,95,2.0,0.0,72.0,0.0,0.0,1.0,0.0,0
2,0,0,2,34,64,342,15,95,2.0,0.0,34.0,0.0,0.0,1.0,0.0,0
6,0,0,2,113,148,343,16,95,6.0,0.0,113.0,4.0,70.0,6.0,0.0,0
1,0,0,9,119,183,344,17,95,1.0,0.0,119.0,0.0,0.0,1.0,0.0,0
4,0,14,0,63,184,298,18,93,4.0,0.0,63.0,0.0,0.0,1.0,0.0,0
1,0,3,0,13,55,299,19,93,1.0,0.0,13.0,0.0,0.0,1.0,0.0,0
1,0,3,0,5,41,300,20,93,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0
1,0,3,3,30,77,301,21,93,1.0,0.0,30.0,0.0,0.0,1.0,0.0,0
77,0,22,1,312,523,302,22,93,77.0,0.0,312.0,0.0,0.0,1.0,0.0,0
1,0,3,3,26,76,303,23,93,1.0,0.0,26.0,0.0,0.0,1.0,0.0,0
4,0,1,1,31,61,304,24,93,4.0,0.0,31.0,0.0,0.0,1.0,0.0,0
18,0,1,1,119,165,305,25,93,18.0,0.0,119.0,4.0,70.0,6.0,0.0,0
8,0,2,0,46,85,306,26,93,8.0,0.0,46.0,0.0,0.0,1.0,0.0,0
65,0,3,6,305,466,307,27,93,65.0,0.0,305.0,0.0,0.0,1.0,0.0,0
1,0,3,0,8,53,309,28,93,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0
1,0,2,0,14,58,310,29,93,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0
4,0,9,0,96,169,311,30,93,4.0,0.0,96.0,4.0,70.0,5.0,0.0,0
1,0,2,0,4,39,312,31,93,1.0,0.0,4.0,4.0,70.0,6.0,0.0,0
34,0,1,1,190,242,313,32,93,34.0,0.0,190.0,4.0,70.0,6.0,0.0,0
18,0,6,1,95,163,346,33,96,18.0,0.0,95.0,0.0,0.0,1.0,0.0,0
1,0,0,0,1,28,345,34,96,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1,0,0,0,1,28,308,35,93,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
47,0,27,4,323,601,349,36,98,47.0,0.0,323.0,0.0,0.0,1.0,0.0,0
1,0,4,0,6,50,350,37,98,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0
1,0,5,0,8,72,351,38,98,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0
52,0,3,3,238,306,352,39,98,52.0,0.0,238.0,0.0,0.0,1.0,0.0,0
16,0,2,0,75,127,353,40,98,16.0,0.0,75.0,0.0,0.0,1.0,0.0,0
30,0,8,3,208,334,354,41,98,30.0,0.0,208.0,4.0,70.0,10.0,0.0,0
64,0,18,7,408,633,355,42,98,64.0,0.0,408.0,4.0,70.0,9.0,0.0,0
1,0,1,0,7,50,356,43,98,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0
1,0,10,1,43,134,358,44,98,1.0,0.0,43.0,0.0,0.0,1.0,0.0,0
84,0,14,7,485,687,359,45,98,84.0,0.0,485.0,4.0,70.0,7.0,0.0,0
35,0,20,5,228,443,360,46,98,35.0,0.0,228.0,0.0,0.0,1.0,0.0,0
24,0,7,7,201,351,361,47,98,24.0,0.0,201.0,2.0,70.0,6.0,0.0,0
3,0,3,3,30,81,362,48,98,3.0,0.0,30.0,0.0,0.0,1.0,0.0,0
8,0,16,0,101,252,363,49,98,8.0,0.0,101.0,0.0,0.0,1.0,0.0,0
1,0,3,0,7,50,364,50,98,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0
1,0,1,0,5,39,365,51,98,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0
10,0,4,1,82,152,366,52,98,10.0,0.0,82.0,0.0,0.0,1.0,0.0,0
4,0,4,7,62,130,367,53,98,4.0,0.0,62.0,0.0,0.0,1.0,0.0,0
15,0,6,0,115,206,368,54,98,15.0,0.0,115.0,0.0,0.0,1.0,0.0,0
4,0,7,2,58,133,369,55,98,4.0,0.0,58.0,0.0,0.0,1.0,0.0,0
2,0,2,2,32,73,370,56,98,2.0,0.0,32.0,0.0,0.0,1.0,0.0,0
1,0,18,0,40,183,371,57,98,1.0,0.0,40.0,4.0,70.0,9.0,0.0,0
1,0,2,6,32,78,372,58,98,1.0,0.0,32.0,0.0,0.0,1.0,0.0,0
1,0,0,0,1,27,357,59,98,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
6,0,5,5,103,175,314,60,94,6.0,0.0,103.0,4.0,70.0,6.0,0.0,0
1,0,3,0,12,55,315,61,94,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0
1,0,4,80,282,490,316,62,94,1.0,0.0,282.0,0.0,0.0,1.0,0.0,0
1,0,0,2,19,43,317,63,94,1.0,0.0,19.0,0.0,0.0,1.0,0.0,0
1,0,0,3,25,52,318,64,94,1.0,0.0,25.0,0.0,0.0,1.0,0.0,0
63,0,20,37,912,1173,319,65,94,63.0,0.0,912.0,0.0,0.0,1.0,0.0,0
1,0,0,3,20,47,320,66,94,1.0,0.0,20.0,0.0,0.0,1.0,0.0,0
2,0,0,19,113,176,321,67,94,2.0,0.0,113.0,0.0,0.0,1.0,0.0,0
3,0,0,19,121,186,322,68,94,3.0,0.0,121.0,4.0,70.0,6.0,0.0,0
2,0,0,7,119,158,323,69,94,2.0,0.0,119.0,0.0,0.0,1.0,0.0,0
3,0,0,38,222,330,324,70,94,3.0,0.0,222.0,4.0,70.0,6.0,0.0,0
15,0,4,0,83,166,325,71,94,15.0,0.0,83.0,0.0,0.0,1.0,0.0,0
23,0,0,3,79,110,326,72,94,23.0,0.0,79.0,0.0,0.0,1.0,0.0,0
1,0,0,2,9,33,347,73,97,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0
1,0,0,15,135,188,348,74,97,1.0,0.0,135.0,0.0,0.0,1.0,0.0,0
4,0,0,13,236,296,373,75,99,4.0,0.0,236.0,0.0,0.0,1.0,0.0,0
4,0,0,37,445,562,374,76,99,4.0,0.0,445.0,0.0,0.0,1.0,0.0,0
1,0,0,5,116,173,375,77,99,1.0,0.0,116.0,0.0,0.0,1.0,0.0,0
1,0,0,17,382,472,376,78,99,1.0,0.0,382.0,0.0,0.0,1.0,0.0,0
2,0,0,27,449,579,377,79,99,2.0,0.0,449.0,4.0,70.0,6.0,0.0,0
2,0,0,24,389,498,378,80,99,2.0,0.0,389.0,0.0,0.0,1.0,0.0,0
2,0,0,44,715,900,379,81,99,2.0,0.0,715.0,4.0,70.0,6.0,0.0,0
1,0,0,8,176,228,380,82,99,1.0,0.0,176.0,0.0,0.0,1.0,0.0,0
1,0,0,2,123,172,381,83,99,1.0,0.0,123.0,2.0,70.0,5.0,0.0,0
