McCC,CLOC,LLOC,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
1,0,11,13,0,9,665,0
1,0,30,10,0,6,665,0
1,0,20,18,0,11,665,0
1,0,21,21,0,8,665,0
5,0,91,21,0,8,665,0
1,0,20,11,0,7,665,0
1,0,26,21,0,9,665,0
1,0,20,17,0,9,665,0
14,0,92,13,0,7,665,0
1,0,12,12,0,7,665,0
26,0,318,20,0,9,665,0
1,0,1,11,0,5,665,0
1,0,7,12,0,7,665,0
1,0,21,16,0,9,665,0
1,0,63,10,0,5,665,0
1,0,11,12,0,7,665,0
1,0,35,14,0,8,665,0
3,0,31,13,0,7,665,0
8,0,130,13,0,7,665,0
2,0,71,25,0,11,665,0
2,0,70,22,0,11,665,0
35,0,238,20,0,11,665,0
18,0,183,15,0,7,665,0
1,0,61,29,0,13,1296,0
2,0,71,20,0,9,665,0
2,0,68,21,0,11,665,0
5,0,80,21,0,11,665,0
4,0,55,10,0,5,665,0
1,0,20,12,0,7,665,0
1,0,19,12,0,7,665,0
4,0,42,11,0,7,665,0
12,0,107,13,0,7,665,0
1,0,5,10,0,5,665,0
2,0,24,10,0,5,665,0
3,0,119,17,0,9,665,0
4,0,122,22,0,11,665,0
4,0,158,35,0,15,1296,0
5,0,67,25,0,10,5350,0
1,0,72,15,0,9,665,0
1,0,11,16,0,7,5350,0
1,0,29,20,0,7,5350,0
2,0,34,12,0,7,665,0
1,0,4,10,0,5,665,0
4,0,50,23,0,10,5350,0
1,0,15,13,0,8,665,0
1,0,40,31,0,13,5350,0
2,0,69,14,0,6,5350,0
1,0,75,8,0,6,665,0
31,0,579,101,1,17,5350,0
12,0,175,55,0,12,5350,0
1,0,9,8,0,4,5350,0
1,0,82,27,0,11,5350,0
4,0,123,9,0,3,5350,0
5,0,40,12,0,7,5350,0
1,0,20,6,0,2,5350,0
1,0,21,31,0,9,2319,0
1,0,19,10,0,5,2319,0
2,0,28,26,0,9,5350,0
1,0,16,11,0,6,5350,0
1,0,34,14,0,6,5350,0
1,0,29,36,0,11,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
1,0,11,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
2,0,28,13,0,7,5350,0
4,0,28,13,0,7,5350,0
