McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,target
42,0,577,0,2,4057,1,0
2,0,26,0,1,4057,1,0
4,0,91,0,2,4057,1,0
32,0,292,0,2,4057,1,0
1,0,143,0,3,4057,1,0
1,0,11,0,1,4057,1,0
5,0,68,0,1,4057,1,0
14,0,163,0,1,4057,1,0
6,0,88,0,1,4057,1,0
126,0,682,0,2,4057,1,0
73,0,562,0,2,4057,1,0
20,0,136,0,2,4057,1,0
2,0,154,0,1,4057,1,0
10,0,249,0,1,4057,1,1
16,0,160,0,1,4057,1,0
5,0,47,0,1,4057,1,0
4,0,91,0,2,4057,1,0
1,0,1,0,1,4057,1,0
3,0,167,0,1,4057,1,0
10,0,202,0,1,4057,1,0
7,0,194,0,1,4057,1,0
1,0,4,0,1,4057,1,0
124,0,1382,0,2,4057,1,0
3,0,248,0,2,4057,1,0
1,0,6,0,1,4057,1,0
1,0,17,0,1,4057,1,0
1,0,20,0,1,4057,1,0
1,0,19,0,1,4057,1,0
1,0,40,0,1,4057,1,0
17,0,326,0,1,4057,1,0
9,0,116,0,1,4057,1,0
1,0,20,0,1,4057,1,0
1,0,37,0,1,4057,1,0
1,0,6,0,1,4057,1,0
1,0,17,0,1,4057,1,0
1,0,21,0,1,4057,1,0
1,0,133,0,1,4057,1,0
1,0,23,0,1,4057,1,0
1,0,21,0,1,4057,1,0
43,0,273,0,2,4057,1,1
16,0,67,0,2,4057,1,0
28,0,183,0,2,4057,1,1
1,0,6,0,1,4057,1,0
1,0,16,0,2,4057,1,0
1,0,28,0,1,4057,1,1
38,0,172,0,2,4057,1,1
48,0,167,0,2,4057,1,1
1,0,16,0,2,4057,1,0
58,0,298,0,2,4057,1,1
2,0,25,0,1,4057,1,0
4,0,72,0,1,4057,1,0
16,0,125,0,3,4057,1,0
9,0,122,0,1,4057,1,0
3,0,51,0,1,4057,1,0
2,0,36,0,1,4057,1,0
8,0,97,0,2,4057,1,0
7,0,115,0,3,4057,1,0
1,0,9,0,1,4057,1,0
1,0,65,0,1,4057,1,0
12,0,83,0,1,4057,1,0
1,0,18,0,2,4057,1,0
10,0,85,0,1,4057,1,1
30,0,102,0,3,4057,1,1
26,0,100,1,3,4057,1,0
16,0,88,0,1,4057,1,0
5,0,16,0,1,4057,1,0
20,0,132,0,1,4057,1,0
1,0,26,0,1,4057,1,0
1,0,12,0,2,4057,1,0
3,0,40,0,1,4057,1,0
78,0,581,0,2,4057,1,0
1,0,26,0,2,4057,1,0
100,0,478,0,2,4057,1,1
15,0,117,0,2,1649,2,1
10,0,82,0,1,4057,1,0
10,0,72,0,2,4057,1,1
183,0,1002,0,2,4057,1,1
93,0,596,0,2,4057,1,0
1,0,7,0,1,4057,1,0
1,0,21,0,2,4057,1,0
1,0,18,0,1,4057,1,0
1,0,5,0,1,4057,1,0
1,0,20,0,1,4057,1,0
1,0,18,0,1,4057,1,0
63,0,225,0,1,4057,1,0
1,0,27,0,1,4057,1,0
19,0,119,0,1,4057,1,0
1,0,8,0,1,4057,1,0
8,0,73,0,1,4057,1,0
7,0,68,0,2,4057,1,0
7,0,87,0,3,4057,1,0
13,0,150,0,2,4057,1,1
10,0,172,0,2,4057,1,1
1,0,1,0,1,4057,1,0
51,0,230,1,3,4057,1,1
9,0,72,0,3,4057,2,0
1,0,1,0,1,4057,1,0
1,0,100,0,2,4057,1,0
5,0,40,0,1,4057,1,0
2,0,20,0,1,4057,1,0
4,0,48,0,1,4057,1,0
1,0,22,0,1,4057,1,0
1,0,18,0,1,4057,1,0
1,0,25,0,1,4057,1,0
1,0,18,0,1,4057,1,0
18,0,89,0,1,4057,1,0
3,0,17,0,1,4057,1,0
1,0,20,0,2,4057,1,0
1,0,15,0,2,4057,1,0
4,0,52,0,3,4057,1,0
1,0,1,0,1,4057,1,0
1,0,21,0,2,4057,1,0
1,0,20,0,2,4057,1,0
7,0,49,0,2,4057,1,0
1,0,7,0,1,4057,1,0
6,0,47,0,3,4057,1,0
12,0,77,0,2,4057,1,0
7,0,61,0,1,4057,1,0
57,0,230,0,3,4057,1,0
21,0,99,0,3,4057,1,1
1,0,6,0,1,4057,1,0
1,0,6,0,1,4057,1,0
1,0,50,0,3,4057,1,0
20,0,131,0,3,4057,1,1
15,0,90,0,3,4057,1,1
15,0,90,0,3,4057,1,1
4,0,18,0,2,4057,1,0
1,0,25,0,2,4057,1,0
1,0,4,0,1,4057,1,0
1,0,10,0,2,4057,1,0
9,0,61,0,3,4057,1,0
9,0,77,0,2,4057,1,1
5,0,64,0,3,4057,1,1
5,0,64,0,3,4057,1,1
4,0,40,0,3,4057,1,0
4,0,41,0,1,4057,1,0
4,0,17,0,2,4057,1,0
4,0,295,0,2,4057,1,0
4,0,112,0,2,4057,1,0
4,0,20,0,2,4057,1,0
6,0,42,1,1,4057,1,0
1,0,44,0,1,4057,1,0
4,0,134,1,3,4057,1,0
1,0,56,0,2,4057,1,0
1,0,50,0,2,4057,1,0
1,0,50,0,2,4057,1,0
32,0,266,0,2,4057,1,0
4,0,37,0,1,4057,1,0
1,0,133,0,1,4057,1,0
3,0,38,0,1,4057,1,0
1,0,1,0,1,4057,1,0
5,0,31,0,2,4057,1,0
2,0,19,0,1,4057,1,0
1,0,1,0,1,4057,1,0
1,0,16,0,1,4057,1,0
1,0,1,0,1,4057,1,0
17,0,107,0,3,1649,2,0
37,0,227,0,3,4057,1,0
6,0,34,0,1,4057,1,0
1,0,7,0,1,4057,1,0
18,0,169,0,1,4057,1,1
1,0,13,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,22,0,1,4057,1,0
1,0,37,0,1,4057,1,0
1,0,16,0,2,4057,1,0
1,0,5,0,2,4057,1,0
1,0,22,0,1,4057,1,0
1,0,1,0,1,4057,1,0
1,0,15,0,1,4057,1,0
25,0,164,0,1,4057,1,0
1,0,17,0,2,4057,1,0
4,0,36,0,2,1649,2,0
21,0,149,0,3,1649,2,0
29,0,182,0,3,4057,1,0
16,0,72,0,1,4057,1,0
1,0,1,0,1,4057,1,0
1,0,15,0,1,4057,1,0
4,0,33,0,1,4057,1,0
4,0,33,0,1,4057,1,0
1,0,1,0,1,4057,1,0
1,0,1,0,1,4057,1,0
6,0,56,0,2,4057,1,0
3,0,27,0,1,4057,1,0
6,0,36,0,1,4057,1,0
2,0,32,0,1,4057,1,0
1,0,1,0,1,4057,1,0
1,0,4,0,2,4057,1,0
27,0,200,0,1,4057,1,0
15,0,647,0,2,4057,1,0
1,0,17,0,1,4057,1,0
1,0,11,0,2,4057,1,0
1,0,3,0,1,4057,1,0
2,0,21,0,1,4057,1,0
2,0,15,0,1,4057,1,0
1,0,4,0,1,4057,1,0
3,0,33,0,2,4057,1,0
6,0,51,0,2,4057,1,0
4,0,27,0,2,4057,1,1
6,0,53,0,1,4057,1,0
1,0,5,0,2,4057,1,0
7,0,68,0,1,4057,1,0
2,0,44,0,2,4057,1,0
6,0,145,0,2,4057,1,0
2,0,39,0,1,4057,1,0
4,0,111,0,1,4057,1,0
1,0,1,0,1,4057,1,0
3,0,68,0,1,4057,1,0
1,0,13,0,1,4057,1,0
1,0,11,0,1,4057,1,0
1,0,13,0,1,4057,1,0
1,0,1,0,1,4057,1,0
3,0,33,0,1,4057,1,0
3,0,33,0,1,4057,1,0
1,0,34,0,1,4057,1,0
1,0,35,0,1,4057,1,0
5,0,43,0,2,4057,1,0
