target,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
1,22435,0,104,22,5,0.8165113673277032,False,4.0,683683.5,27.0,9.0,True,24.0,274143.1666666666,61.0,3.0,75.0,916.0,1022.0,71.0,863.0,959.5,40.0,584.0,638.0,0.039521430929511,0.44285158174047057,0.49223529793231746
0,12,6,2,2,1,0.3095434291503252,True,1.0,130927.0,14.0,5.0,False,156.0,114295.0,478.0,4.0,1298.0,1541.0,2599.0,834.0,1211.0,1873.0,1087.0,1361.0,2241.0,0.1475454298887984,0.1847030105777054,0.3040412259289395
1,304,16,12,2,1,0.8036388584208403,False,4.0,683683.5,27.0,9.0,True,24.0,274143.1666666666,61.0,3.0,75.0,916.0,1022.0,71.0,863.0,959.5,40.0,584.0,638.0,0.039521430929511,0.44285158174047057,0.49223529793231746
0,272,276,43,12,1,0.9312903772033108,True,1.0,635225.0,5.0,3.0,False,16.0,884412.4418604651,66.0,3.0,83.0,184.0,231.0,83.0,184.0,231.0,16.0,88.0,88.0,0.173469387755102,0.9081632653061223,0.9081632653061223
1,580,283,8,5,1,0.8495018749170224,True,2.0,112913.0,12.0,4.0,False,5.0,280556.5,7.0,2.0,5.0,685.0,687.0,5.0,662.0,664.0,2.0,42.0,43.0,0.06,0.86,0.88
0,29,12,2,2,1,0.9995708393473224,True,4.0,146993.0,41.0,5.0,False,12.0,4829516.0,22.0,3.0,22.0,1561.0,1563.0,22.0,1286.0,1288.0,17.0,826.0,827.0,0.0180722891566265,0.8303212851405622,0.8313253012048193
0,2,2,1,1,1,0.0,True,3.0,619709.0,16.0,9.0,False,6.0,311548.0,13.0,3.0,568.0,786.0,812.0,432.0,601.0,620.0,434.0,449.0,473.0,0.4447852760736196,0.4601226993865031,0.4846625766871165
1,462,1,4,3,1,0.5841583926475513,True,21.0,-32841526.0,82.0,30.0,False,2.0,50945.0,2.0,3.0,15.0,53.0,55.0,15.0,53.0,55.0,14.0,45.0,46.0,0.1327433628318584,0.4070796460176991,0.415929203539823
0,15,3,2,2,1,0.9910760598382222,True,1.0,344624.0,8.0,4.0,False,31.0,1365650.0,77.0,4.0,157.0,1328.0,1457.0,88.0,1119.0,1191.0,36.0,250.0,283.0,0.0415263748597081,0.281705948372615,0.318742985409652
0,825,87,9,4,2,0.6445250153718692,True,22.0,3442893.0,108.0,19.0,False,36.0,4772791.0,94.0,1.0,7.0,566.0,569.0,7.0,460.0,463.0,7.0,561.0,564.0,0.0080321285140562,0.5642570281124498,0.5672690763052208
1,103,56,5,4,1,0.5744830134591838,True,3.0,-25781966.0,21.0,7.0,False,21.0,298129.8,69.0,2.0,42.0,217.0,231.0,42.0,217.0,231.0,40.0,209.0,222.0,0.128125,0.65625,0.696875
1,101,9,9,5,1,0.7201717461059521,True,6.0,-10201285.0,39.0,18.0,False,31.0,208716.88888888888,112.0,2.0,207.0,622.0,661.0,207.0,622.0,661.0,193.0,561.0,592.0,0.2449494949494949,0.7095959595959596,0.7487373737373737
1,135,64,9,5,1,0.7365872180519933,True,8.0,639354.0,34.0,12.0,False,0.0,0.0,0.0,5.0,10.0,458.0,460.0,10.0,452.0,454.0,0.0,8.0,8.0,0.0909090909090909,0.8181818181818182,0.8181818181818182
1,111,16,2,2,1,0.976210142437301,True,12.0,17838304.0,77.0,37.0,False,5.0,1058616.5,6.0,5.0,97.0,1220.0,1223.0,66.0,1097.0,1100.0,7.0,273.0,273.0,0.0265780730897009,0.9102990033222592,0.9102990033222592
1,87,47,2,2,1,0.9635359835770289,True,35.0,24155803.0,286.0,97.0,False,1.0,2387698.5,1.0,13.0,1.0,746.0,746.0,1.0,737.0,737.0,0.0,10.0,10.0,0.0833333333333333,0.9166666666666666,0.9166666666666666
1,498,219,4,2,1,0.4717210315549514,True,52.0,4688621.0,249.0,50.0,False,8.0,480479.25,18.0,2.0,52.0,441.0,481.0,48.0,440.0,476.0,45.0,414.0,450.0,0.0377049180327868,0.3401639344262295,0.369672131147541
1,50,42,4,2,1,0.7998564381066102,True,1.0,58552.0,5.0,2.0,False,63.0,2886.0,277.0,2.0,262.0,561.0,719.0,262.0,561.0,719.0,230.0,451.0,594.0,0.1144130757800891,0.2238732045567112,0.2947003467062902
