McCC,CLOC,LLOC,Number of developer commits,Number of committers,Number of previous fixes,Number of previous modifications,target
5,0,28,0,0,0,1,0
2,0,17,0,0,0,1,0
7,0,34,0,0,0,1,0
1,0,9,0,0,0,1,0
1,0,10,0,0,0,1,0
1,0,6,327,1,0,2,0
3,0,41,0,0,0,1,0
1,0,65,327,1,0,10,0
4,0,56,327,1,1,3,0
12,0,81,0,0,0,1,0
1,0,8,327,1,0,1,0
5,0,40,327,1,0,1,1
1,0,18,327,1,0,1,0
1,0,19,327,1,0,1,1
1,0,11,0,0,0,1,0
25,0,205,327,1,0,3,0
7,0,112,327,1,0,3,0
5,0,37,327,1,0,1,0
5,0,31,327,1,0,1,0
5,0,30,327,1,0,1,0
13,0,79,327,1,0,1,0
1,0,5,327,1,0,1,0
1,0,5,327,1,0,1,0
1,0,8,327,1,0,1,0
52,0,346,327,1,2,4,0
1,0,21,0,0,0,1,0
1,0,16,0,0,0,1,0
1,0,49,327,1,1,2,0
2,0,68,0,0,0,1,0
1,0,19,0,0,0,1,0
1,0,63,327,1,0,1,0
4,0,23,327,1,0,1,0
3,0,24,327,1,0,1,0
1,0,27,0,0,0,1,0
1,0,58,0,0,0,1,0
1,0,42,0,0,0,1,0
11,0,101,327,1,0,4,0
3,0,50,0,0,0,1,0
1,0,15,0,0,0,1,0
1,0,25,0,0,0,1,0
18,0,165,327,1,1,4,0
3,0,29,327,1,0,3,0
1,0,26,327,1,0,2,0
2,0,25,0,0,0,1,0
9,0,311,327,1,0,4,0
8,0,275,0,0,0,1,0
1,0,50,0,0,0,1,0
29,0,260,327,1,1,8,0
1,0,12,0,0,0,1,0
1,0,36,327,1,1,3,0
8,0,82,0,0,0,1,0
3,0,30,327,1,0,2,0
1,0,15,0,0,0,1,0
1,0,11,0,0,0,1,0
9,0,61,327,1,1,3,0
8,0,61,327,1,1,3,0
5,0,21,327,1,1,2,0
2,0,24,0,0,0,1,0
3,0,33,0,0,0,1,0
2,0,22,327,1,0,2,0
2,0,28,327,1,1,3,0
10,0,88,327,1,1,6,0
3,0,21,0,0,0,1,0
13,0,86,327,1,0,3,0
3,0,49,0,0,0,1,0
5,0,85,327,1,1,3,0
6,0,96,327,1,1,3,0
23,0,124,327,2,0,8,0
5,0,36,327,2,0,5,0
8,0,63,327,1,0,4,0
11,0,153,327,1,1,5,0
2,0,30,327,1,1,3,0
1,0,11,327,1,0,2,0
3,0,24,0,0,0,1,0
1,0,14,327,1,0,2,0
1,0,11,327,1,0,3,0
1,0,11,327,1,0,3,0
3,0,24,327,1,0,2,0
3,0,44,327,1,1,3,0
5,0,69,327,1,1,7,0
28,0,133,327,1,0,7,0
3,0,28,327,1,0,3,0
2,0,39,327,1,0,2,0
1,0,21,0,0,0,1,0
1,0,19,0,0,0,1,0
3,0,18,0,0,0,1,0
1,0,10,0,0,0,1,0
2,0,28,0,0,0,1,0
1,0,14,0,0,0,1,0
4,0,42,327,1,0,3,0
3,0,24,327,1,0,2,0
1,0,14,0,0,0,1,0
2,0,17,327,1,0,3,0
3,0,33,0,0,0,1,0
1,0,10,0,0,0,1,0
1,0,10,0,0,0,1,0
3,0,40,327,1,0,2,0
2,0,34,327,1,1,3,0
2,0,25,0,0,0,1,0
2,0,50,327,1,1,3,0
2,0,26,327,1,0,2,0
2,0,40,0,0,0,1,0
4,0,50,0,0,0,1,0
2,0,45,327,1,1,3,0
2,0,23,0,0,0,1,0
4,0,46,0,0,0,1,0
2,0,48,327,1,1,3,0
3,0,47,0,0,0,1,0
3,0,40,327,1,0,2,0
2,0,34,327,1,1,3,0
5,0,101,16,1,0,3,0
3,0,44,0,0,0,1,0
13,0,89,327,1,0,3,0
5,0,44,327,1,0,2,1
12,0,99,0,0,0,1,0
14,0,117,327,1,2,7,0
10,0,84,0,0,0,1,0
4,0,48,327,1,0,2,0
10,0,80,327,1,0,2,0
1,0,40,327,1,0,1,0
2,0,40,0,0,0,1,0
8,0,74,327,1,0,2,0
97,0,919,327,1,2,12,0
1,0,26,327,1,0,3,0
3,0,40,327,1,0,3,0
10,0,93,327,1,2,7,0
5,0,101,327,1,0,2,0
17,0,216,327,1,2,5,0
11,0,107,327,1,1,10,0
2,0,17,327,1,0,1,0
7,0,82,327,1,1,8,0
9,0,52,327,1,1,7,0
6,0,46,327,2,1,6,0
5,0,42,327,1,1,4,0
16,0,72,327,1,1,2,0
4,0,32,327,1,0,2,0
4,0,24,327,1,0,6,0
8,0,46,327,1,0,1,0
3,0,19,327,1,0,1,0
9,0,71,327,1,1,5,0
2,0,19,0,0,0,1,0
9,0,52,327,1,1,8,0
12,0,77,327,1,0,8,0
8,0,51,327,1,1,8,0
1,0,11,0,0,0,1,0
9,0,61,327,1,1,9,0
7,0,49,327,1,1,4,0
8,0,75,327,1,0,2,0
1,0,22,327,1,0,3,0
12,0,88,327,1,0,2,0
1,0,11,0,0,0,1,0
4,0,41,327,1,2,3,0
4,0,31,0,0,0,1,0
1,0,8,0,0,0,1,0
3,0,25,0,0,0,1,0
1,0,7,0,0,0,1,0
11,0,83,0,0,0,1,0
7,0,87,327,1,0,2,0
69,0,566,0,0,0,1,0
44,0,256,327,1,1,3,0
11,0,104,327,1,1,4,0
4,0,26,0,0,0,1,0
1,0,15,0,0,0,1,0
1,0,5,0,0,0,1,0
1,0,11,0,0,0,1,0
3,0,61,0,0,0,1,0
2,0,22,327,1,0,2,0
5,0,72,327,1,0,2,0
5,0,79,0,0,0,1,0
4,0,40,0,0,0,1,0
1,0,32,327,1,0,2,0
16,0,84,0,0,0,1,0
4,0,42,0,0,0,1,0
13,0,91,327,1,1,3,0
58,0,386,0,0,0,1,0
63,0,475,0,0,0,1,0
66,0,293,0,0,0,1,0
7,0,65,0,0,0,1,0
23,0,112,327,1,0,3,0
16,0,118,327,1,0,2,0
1,0,7,0,0,0,1,0
1,0,21,0,0,0,1,0
2,0,37,0,0,0,1,0
