McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of developer commits,Number of committers,Number of previous fixes,Number of previous modifications,target
11,0,1,1,100,145,29,0,4,11.0,0.0,100.0,0.0,0.0,0.0,1.0,0
5,0,0,0,28,57,0,1,0,5.0,0.0,28.0,0.0,0.0,0.0,1.0,0
2,0,2,0,17,50,1,2,0,2.0,0.0,17.0,0.0,0.0,0.0,1.0,0
7,0,4,3,34,77,2,3,0,7.0,0.0,34.0,0.0,0.0,0.0,1.0,0
1,0,1,2,9,35,3,4,0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0
1,0,1,3,10,37,4,5,0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0
1,0,1,0,3,25,5,6,0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0
3,0,1,8,41,75,6,7,0,3.0,0.0,41.0,0.0,0.0,0.0,1.0,0
1,0,28,1,57,349,7,8,0,1.0,0.0,57.0,0.0,0.0,0.0,1.0,0
1,0,3,0,5,42,8,9,0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0
1,0,3,0,5,40,9,10,0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0
4,0,5,3,53,114,10,11,0,4.0,0.0,53.0,0.0,0.0,0.0,1.0,1
12,0,6,0,81,165,19,12,0,12.0,0.0,81.0,0.0,0.0,0.0,1.0,0
1,0,5,0,11,66,167,13,32,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0
52,0,3,3,350,546,168,14,33,52.0,0.0,350.0,0.0,0.0,0.0,1.0,0
25,0,2,2,205,310,30,15,5,25.0,0.0,205.0,0.0,0.0,0.0,1.0,0
7,0,1,13,109,162,278,16,67,7.0,0.0,109.0,0.0,0.0,0.0,1.0,0
1,0,1,2,21,48,25,17,3,1.0,0.0,21.0,0.0,0.0,0.0,1.0,0
1,0,1,2,16,43,26,18,3,1.0,0.0,16.0,0.0,0.0,0.0,1.0,0
1,0,1,5,32,63,27,19,3,1.0,0.0,32.0,0.0,0.0,0.0,1.0,0
2,0,1,5,68,101,28,20,3,2.0,0.0,68.0,0.0,0.0,0.0,1.0,0
1,0,1,1,27,56,169,21,34,1.0,0.0,27.0,0.0,0.0,0.0,1.0,0
1,0,1,1,58,93,170,22,34,1.0,0.0,58.0,0.0,0.0,0.0,1.0,0
1,0,1,1,42,77,171,23,34,1.0,0.0,42.0,0.0,0.0,0.0,1.0,0
1,0,1,1,19,47,279,24,68,1.0,0.0,19.0,0.0,0.0,0.0,1.0,0
3,0,1,2,50,90,11,25,1,3.0,0.0,50.0,0.0,0.0,0.0,1.0,0
1,0,1,1,15,43,12,26,1,1.0,0.0,15.0,0.0,0.0,0.0,1.0,0
1,0,1,1,25,56,13,27,1,1.0,0.0,25.0,0.0,0.0,0.0,1.0,0
18,0,2,3,165,211,14,28,1,18.0,0.0,165.0,0.0,0.0,0.0,1.0,0
