McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
1,0,21,0,1,2,1077,0
5,0,62,0,1,2,1077,0
1,0,14,0,1,1,1077,0
1,0,14,0,1,1,1077,0
1,0,14,0,1,1,1077,0
1,0,11,0,1,1,1077,0
1,0,8,0,1,1,1077,0
1,0,8,0,1,1,1077,0
1,0,8,0,1,1,1077,0
1,0,15,0,1,1,1077,0
1,0,7,0,1,1,1077,0
31,0,264,0,1,2,1077,0
24,0,182,0,2,4,142,0
9,0,62,0,1,2,1077,0
2,0,69,0,2,4,142,1
1,0,34,0,1,1,1077,0
1,0,38,0,1,1,1077,0
2,0,40,0,2,3,142,0
24,0,261,0,2,6,142,0
1,0,20,0,1,1,1077,0
1,0,20,0,1,1,1077,0
1,0,20,0,1,1,1077,0
1,0,14,0,2,3,142,0
1,0,14,0,2,3,142,0
1,0,8,0,1,1,1077,0
1,0,8,0,1,1,1077,0
1,0,11,0,2,5,142,0
1,0,20,0,1,1,1077,0
1,0,20,0,1,1,1077,0
1,0,20,0,1,1,1077,0
1,0,14,0,2,3,142,0
1,0,14,0,2,3,142,0
1,0,7,0,1,1,1077,0
1,0,23,0,1,1,1077,0
1,0,25,0,1,1,1077,0
1,0,23,0,1,1,1077,0
1,0,26,0,2,3,142,0
1,0,19,0,2,3,142,0
1,0,17,0,2,3,142,0
1,0,28,0,2,10,1077,0
1,0,13,0,1,1,1077,0
1,0,11,0,1,1,1077,0
1,0,25,0,1,1,1077,0
1,0,23,0,1,1,1077,0
1,0,23,0,1,1,1077,0
1,0,19,0,2,3,142,0
1,0,31,0,2,3,142,0
1,0,17,0,2,3,142,0
12,0,103,0,2,12,142,0
17,0,79,0,1,1,142,0
10,0,190,0,2,6,142,0
33,0,324,0,3,16,1615,0
6,0,54,0,2,4,1077,0
44,0,290,0,2,11,142,0
35,0,257,0,3,15,1077,0
31,0,272,0,2,7,1077,0
34,0,303,0,3,16,1615,0
3,0,30,0,2,4,142,0
21,0,185,0,2,4,142,0
14,0,101,0,2,4,142,0
8,0,71,0,2,4,142,0
2,0,40,0,2,3,142,0
1,0,23,0,2,3,142,0
1,0,18,0,2,3,142,0
1,0,21,0,2,3,142,0
1,0,14,0,2,3,142,0
1,0,14,0,2,3,142,0
1,0,14,0,2,3,142,0
32,0,260,0,2,9,142,0
36,0,285,0,2,13,142,0
7,0,38,0,1,4,1077,0
7,0,74,0,1,1,1077,0
1,0,11,0,1,2,1077,0
29,0,374,0,2,9,142,0
43,0,265,0,1,1,1077,0
6,0,101,0,1,2,1077,0
1,0,25,0,1,1,1077,0
1,0,21,0,1,1,1077,0
12,0,79,0,1,5,1077,0
