McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
584,0,60,5,2225,3315,238,0,51,584.0,0.0,2225.0,0.0,4735.0,1.0,4.0,0
1,0,3,0,14,62,263,1,51,1.0,0.0,14.0,0.0,4735.0,1.0,1.0,0
1049,0,93,19,4244,6309,280,2,51,1049.0,0.0,4244.0,0.0,4735.0,1.0,5.0,0
28,0,18,0,158,751,305,3,51,28.0,0.0,158.0,0.0,4735.0,1.0,3.0,0
13,0,11,0,88,199,330,4,51,13.0,0.0,88.0,0.0,4735.0,1.0,2.0,0
18,0,11,0,88,194,358,5,51,18.0,0.0,88.0,0.0,4735.0,1.0,2.0,0
524,0,40,0,1705,3345,396,6,51,524.0,0.0,1705.0,0.0,4735.0,1.0,4.0,0
160,0,32,2,723,1555,436,7,51,160.0,0.0,723.0,0.0,4735.0,1.0,3.0,0
4,0,4,0,38,124,447,8,51,4.0,0.0,38.0,0.0,4735.0,1.0,2.0,0
13,0,13,0,85,200,465,9,51,13.0,0.0,85.0,0.0,4735.0,1.0,2.0,0
7,0,16,0,62,190,492,10,51,7.0,0.0,62.0,0.0,4735.0,1.0,2.0,0
18,0,11,0,83,184,506,11,51,18.0,0.0,83.0,0.0,4735.0,1.0,2.0,0
1,0,2,0,11,165,514,12,51,1.0,0.0,11.0,0.0,4735.0,1.0,1.0,0
1,0,1,1,16,70,534,13,51,1.0,0.0,16.0,0.0,4735.0,1.0,2.0,0
306,0,27,0,810,1420,557,14,51,306.0,0.0,810.0,0.0,4735.0,1.0,4.0,0
35,0,0,0,174,342,593,15,51,35.0,0.0,174.0,0.0,4735.0,1.0,2.0,0
11,0,16,0,114,281,2059,16,524,11.0,0.0,114.0,0.0,4735.0,1.0,4.0,0
19,0,13,0,152,328,2060,17,524,19.0,0.0,152.0,0.0,4735.0,1.0,4.0,0
254,0,28,27,1346,1632,2061,18,524,254.0,0.0,1346.0,0.0,4735.0,1.0,2.0,0
20,0,19,0,158,640,2062,19,524,20.0,0.0,158.0,0.0,4735.0,1.0,2.0,0
171,0,25,10,695,1469,2429,20,611,171.0,0.0,695.0,0.0,4735.0,1.0,2.0,0
27,0,18,0,157,745,2430,21,611,27.0,0.0,157.0,0.0,4735.0,1.0,3.0,0
571,0,40,0,1755,3428,2431,22,611,571.0,0.0,1755.0,0.0,4735.0,1.0,3.0,0
149,0,32,2,694,1510,2432,23,611,149.0,0.0,694.0,0.0,4735.0,1.0,3.0,0
4,0,4,0,38,122,2433,24,611,4.0,0.0,38.0,0.0,4735.0,1.0,2.0,0
165,0,18,6,575,1354,2434,25,611,165.0,0.0,575.0,0.0,4735.0,1.0,2.0,0
112,0,22,0,490,1165,2436,26,611,112.0,0.0,490.0,0.0,4735.0,1.0,2.0,0
1,0,2,0,11,165,2437,27,611,1.0,0.0,11.0,0.0,4735.0,1.0,2.0,0
1,0,1,1,16,69,2438,28,611,1.0,0.0,16.0,0.0,4735.0,1.0,3.0,0
10,0,8,0,67,198,2439,29,611,10.0,0.0,67.0,0.0,4735.0,1.0,2.0,0
1,0,6,0,10,134,2440,30,611,1.0,0.0,10.0,0.0,4735.0,1.0,1.0,0
1,0,0,0,1,29,2435,31,611,1.0,0.0,1.0,0.0,4735.0,1.0,4.0,0
1,0,1,3,25,78,2888,32,697,1.0,0.0,25.0,1.0,1466.0,3.0,4.0,0
3,0,1,2,25,57,2922,33,699,3.0,0.0,25.0,1.0,1466.0,2.0,3.0,0
6,0,1,4,50,91,2923,34,699,6.0,0.0,50.0,1.0,1466.0,3.0,5.0,0
7,0,1,10,91,149,2926,35,701,7.0,0.0,91.0,3.0,1466.0,4.0,14.0,0
9,0,2,11,99,165,2927,36,701,9.0,0.0,99.0,3.0,1466.0,4.0,15.0,0
1,0,1,1,6,32,2928,37,702,1.0,0.0,6.0,1.0,319.0,3.0,3.0,0
2,0,1,6,39,76,2929,38,703,2.0,0.0,39.0,1.0,319.0,4.0,7.0,1
76,0,7,0,270,522,2939,39,706,76.0,0.0,270.0,0.0,230.0,1.0,1.0,1
4,0,1,1,28,60,2941,40,707,4.0,0.0,28.0,1.0,1466.0,2.0,5.0,1
1,0,1,1,6,32,2945,41,707,1.0,0.0,6.0,1.0,1466.0,2.0,3.0,0
166,0,1,5,777,885,2949,42,707,166.0,0.0,777.0,10.0,1466.0,8.0,25.0,0
4,0,1,1,31,65,2950,43,707,4.0,0.0,31.0,1.0,1466.0,2.0,5.0,1
65,0,1,59,282,377,2951,44,707,65.0,0.0,282.0,3.0,1466.0,4.0,6.0,0
6,0,1,2,45,79,3028,45,723,6.0,0.0,45.0,1.0,1466.0,2.0,3.0,0
9,0,2,2,110,188,3029,46,723,9.0,0.0,110.0,1.0,1466.0,2.0,3.0,0
