McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of committers,Number of developer commits,Number of previous fixes,Number of previous modifications,target
3,0,1,7,52,70,15,0,4,3,0,52,0,0,0,1,0
4,0,1,4,28,38,17,1,4,4,0,28,0,0,0,1,0
1,0,2,5,26,43,18,2,4,1,0,26,0,0,0,1,0
1,0,1,2,24,42,19,3,4,1,0,24,0,0,0,1,0
1,0,0,0,1,4,16,4,4,1,0,1,0,0,0,1,0
22,0,35,4,151,297,85,5,14,22,0,151,3,107,0,12,0
1,0,1,2,9,16,86,6,14,1,0,9,0,0,0,1,0
13,0,0,3,60,73,87,7,14,13,0,60,0,0,0,1,0
1,0,5,0,22,52,88,8,14,1,0,22,0,0,0,1,0
4,0,2,9,66,85,89,9,14,4,0,66,1,20,0,10,0
7,0,0,5,67,81,90,10,14,7,0,67,0,0,0,7,0
1,0,0,5,23,33,91,11,14,1,0,23,0,0,0,1,0
1,0,2,0,4,14,93,12,14,1,0,4,0,0,0,1,0
1,0,3,0,5,17,94,13,14,1,0,5,0,0,0,1,0
9,0,10,0,81,213,95,14,14,9,0,81,0,0,0,1,0
1,0,5,3,36,58,96,15,14,1,0,36,0,0,0,1,0
1,0,5,0,7,23,97,16,14,1,0,7,0,0,0,1,0
9,0,16,1,100,169,98,17,14,9,0,100,0,0,0,1,0
25,0,20,1,173,307,99,18,14,25,0,173,2,20,1,8,0
1,0,0,0,1,4,92,19,14,1,0,1,0,0,0,1,0
32,0,10,9,235,319,20,20,5,32,0,235,0,0,0,2,0
1,0,1,6,11,20,22,21,5,1,0,11,0,0,0,1,0
1,0,1,2,11,19,23,22,5,1,0,11,3,107,0,61,1
1,0,0,0,1,4,21,23,5,1,0,1,0,0,0,1,0
7,0,4,4,92,140,25,24,6,7,0,92,0,0,0,1,0
13,0,8,7,124,203,26,25,6,13,0,124,0,0,0,2,0
1,0,0,0,1,4,24,26,6,1,0,1,0,0,0,1,0
1,0,1,0,9,41,73,27,13,1,0,9,0,0,0,1,0
1,0,1,0,9,42,74,28,13,1,0,9,1,4,0,5,0
21,0,43,0,225,784,75,29,13,21,0,225,4,134,3,29,1
